feature_id,active_ratio,mean_activation,std_activation
0,0.004999999888241291,6.520080205518752e-05,0.0009241873049177229
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0020000000949949026,2.155303991457913e-05,0.00048191548557952046
12,0.0,0.0,0.0
13,0.013000000268220901,0.0002530365018174052,0.002351415576413274
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.003000000026077032,5.393218816607259e-05,0.0011067708255723119
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.003000000026077032,3.964233474107459e-05,0.000732025655452162
24,0.004999999888241291,8.731079287827015e-05,0.0013191793113946915
25,0.0,0.0,0.0
26,0.0010000000474974513,1.6281128409900703e-05,0.0005145969917066395
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.004000000189989805,0.0017633819952607155,0.03166668489575386
31,0.0020000000949949026,2.6336669179727323e-05,0.0005922610289417207
32,0.0,0.0,0.0
33,0.008999999612569809,0.00015647125837858766,0.0017491236794739962
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,1.0,1.427536129951477,0.7215719819068909
45,0.0,0.0,0.0
46,0.0020000000949949026,2.0622253941837698e-05,0.00046070950338616967
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0010000000474974513,1.2649536074604839e-05,0.00039981340523809195
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.7400000095367432,0.16786076128482819,0.32958272099494934
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,1.0,0.8044340014457703,0.39443930983543396
64,0.0,0.0,0.0
65,0.012000000104308128,0.00017504120478406549,0.0016187663422897458
66,0.020999999716877937,0.0003602905198931694,0.0026702729519456625
67,0.0020000000949949026,2.194213811890222e-05,0.000491384242195636
68,0.0,0.0,0.0
69,0.004000000189989805,6.467437924584374e-05,0.001038084621541202
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0010000000474974513,1.3580322047346272e-05,0.00042923272121697664
74,0.0,0.0,0.0
75,0.0010000000474974513,1.2481689736887347e-05,0.00039450827171094716
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.5339999794960022,0.04527558758854866,0.09122414886951447
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.9769999980926514,0.34672001004219055,0.3663150668144226
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.1940000057220459,0.011968513950705528,0.058241862803697586
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.9950000047683716,0.7883033752441406,0.5594348311424255
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.004000000189989805,6.417846452677622e-05,0.001026105834171176
101,0.003000000026077032,3.190612915204838e-05,0.0005847751162946224
102,0.0,0.0,0.0
103,0.9020000100135803,0.49751630425453186,0.48008954524993896
104,0.0,0.0,0.0
105,0.9409999847412109,0.4270815849304199,0.5617616176605225
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0010000000474974513,1.586914004292339e-05,0.0005015752976760268
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0010000000474974513,1.8234253730042838e-05,0.0005763293011114001
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.003000000026077032,4.3144227674929425e-05,0.0007900517666712403
122,0.8339999914169312,0.16312746703624725,0.2207092046737671
123,0.0010000000474974513,1.109313961933367e-05,0.0003506204520817846
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.004000000189989805,9.477997082285583e-05,0.0017220393056049943
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0010000000474974513,8.636474376544356e-06,0.0002729727129917592
131,0.0020000000949949026,2.082061837427318e-05,0.00046549670514650643
132,0.004000000189989805,0.0002450790489092469,0.004852065350860357
133,0.003000000026077032,4.585266287904233e-05,0.0008438323857262731
134,0.006000000052154064,0.00031066895462572575,0.006285266950726509
135,0.0010000000474974513,1.86309807759244e-05,0.0005888687446713448
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.8999999761581421,0.2003064602613449,0.24739482998847961
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0010000000474974513,1.4572143300028984e-05,0.00046058118459768593
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.07100000232458115,0.003478111233562231,0.047447625547647476
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.19699999690055847,0.016696831211447716,0.09473364055156708
156,0.0020000000949949026,2.7481079087010585e-05,0.0006144873332232237
157,0.0,0.0,0.0
158,0.003000000026077032,4.579162487061694e-05,0.0008419153746217489
159,0.027000000700354576,0.0005519866826944053,0.0048922342248260975
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0010000000474974513,1.5716552297817543e-05,0.0004967525019310415
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0010000000474974513,1.8203734725830145e-05,0.0005753647419624031
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.12099999934434891,0.0017144127050414681,0.005462904926389456
173,0.004000000189989805,6.180572381708771e-05,0.0009776062797755003
174,0.014999999664723873,0.00020030212181154639,0.0016432125121355057
175,0.0,0.0,0.0
176,1.0,0.45480623841285706,0.3010455369949341
177,0.0,0.0,0.0
178,0.004999999888241291,7.54623397369869e-05,0.0010723868617787957
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0020000000949949026,6.23931919108145e-05,0.0015174848958849907
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0010000000474974513,9.521484571450856e-06,0.0003009451902471483
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.012000000104308128,0.00018004608864430338,0.001694627571851015
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0020000000949949026,2.9968261515023187e-05,0.00067918561398983
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0010000000474974513,1.0864258001674898e-05,0.0003433861711528152
204,0.0010000000474974513,1.7349242625641637e-05,0.0005483568529598415
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0020000000949949026,3.755187935894355e-05,0.0008395530167035758
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.04600000008940697,0.0011318817269057035,0.006872211582958698
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.42899999022483826,0.03854137286543846,0.08897602558135986
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0010000000474974513,1.3275146557134576e-05,0.0004195870424155146
224,0.0,0.0,0.0
225,0.1340000033378601,0.007587913423776627,0.034059636294841766
226,0.40700000524520874,0.056211959570646286,0.1594877541065216
227,0.0,0.0,0.0
228,0.0010000000474974513,1.0040283086709678e-05,0.0003173428412992507
229,0.0,0.0,0.0
230,0.0010000000474974513,1.4480590834864415e-05,0.00045768747804686427
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.004999999888241291,7.61566188884899e-05,0.0010979126673191786
234,0.5070000290870667,0.08077152818441391,0.15907804667949677
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.6819999814033508,0.299162358045578,0.5491765737533569
239,0.0010000000474974513,1.1238098522881046e-05,0.0003552021225914359
240,0.0,0.0,0.0
241,0.0010000000474974513,1.3900757039664313e-05,0.00043936067959293723
242,0.0,0.0,0.0
243,0.0020000000949949026,3.251648013247177e-05,0.0007269149646162987
244,0.0,0.0,0.0
245,0.41999998688697815,0.1299910843372345,0.3546352982521057
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.9229999780654907,0.31136322021484375,0.3484908640384674
249,0.020999999716877937,0.000515609746798873,0.006083808373659849
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0010000000474974513,1.5586852896376513e-05,0.0004926530527882278
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
256,0.0020000000949949026,3.2371521228924394e-05,0.0007483359659090638
257,0.004999999888241291,7.102966628735885e-05,0.0010133888572454453
258,0.0,0.0,0.0
259,0.0010000000474974513,1.8615723092807457e-05,0.0005883864359930158
260,0.0010000000474974513,1.1848449503304437e-05,0.00037449348019436
261,0.0,0.0,0.0
262,0.9869999885559082,0.25317952036857605,0.25793230533599854
263,0.0,0.0,0.0
264,1.0,0.623115062713623,0.454858660697937
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.003000000026077032,4.036712562083267e-05,0.0007411462720483541
271,0.003000000026077032,4.10766588174738e-05,0.0007517047924920917
272,0.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,0.0,0.0,0.0
280,0.0,0.0,0.0
281,0.0,0.0,0.0
282,0.0,0.0,0.0
283,0.0,0.0,0.0
284,0.0,0.0,0.0
285,0.0,0.0,0.0
286,0.7350000143051147,0.11288483440876007,0.1860150396823883
287,0.0,0.0,0.0
288,0.010999999940395355,0.00013034057337790728,0.001250142464414239
289,0.0,0.0,0.0
290,0.0,0.0,0.0
291,0.0,0.0,0.0
292,0.0,0.0,0.0
293,0.0,0.0,0.0
294,0.0,0.0,0.0
295,0.0,0.0,0.0
296,0.0,0.0,0.0
297,0.05000000074505806,0.0006458358839154243,0.0029891538433730602
298,0.0,0.0,0.0
