step_idx,timestep,baseline,early,mid,late,custom
0,958,3.702056884765625,0.0,3.702056884765625,3.702056884765625,0.0
1,925,7.0658416748046875,0.24764251708984375,7.0658416748046875,7.0658416748046875,0.24764251708984375
2,892,9.609375,0.9744033813476562,9.609375,9.609375,0.9744033813476562
3,859,11.22393798828125,1.55224609375,11.22393798828125,11.22393798828125,1.55224609375
4,826,11.5684814453125,2.798828125,0.016448974609375,11.5684814453125,1.82080078125
5,793,11.8446044921875,3.6236419677734375,0.030120849609375,11.8446044921875,2.052734375
6,760,12.90625,4.23529052734375,0.016357421875,12.90625,1.814453125
7,727,13.373046875,4.8458251953125,0.078125,13.373046875,1.5236587524414062
8,694,13.7412109375,5.351318359375,0.13653564453125,13.7412109375,1.2224197387695312
9,661,13.753173828125,5.5162200927734375,0.4864501953125,13.753173828125,0.8636474609375
10,628,13.90576171875,5.8194580078125,0.9708251953125,13.90576171875,0.64501953125
11,595,14.143798828125,6.16619873046875,1.2623291015625,14.143798828125,0.6187744140625
12,562,14.37255859375,6.32891845703125,0.93035888671875,14.37255859375,0.5521240234375
13,529,14.4609375,6.592041015625,1.10699462890625,2.09857177734375,0.5440216064453125
14,496,14.804443359375,6.7276458740234375,1.14892578125,2.021240234375,0.6131591796875
15,463,15.078125,6.7865753173828125,1.20147705078125,1.2204132080078125,0.7493896484375
16,430,15.463623046875,7.0382080078125,1.565673828125,1.809326171875,1.03912353515625
17,397,15.480224609375,7.4593658447265625,1.93634033203125,0.9000244140625,1.28662109375
18,364,15.747802734375,8.0841064453125,2.1513671875,0.96026611328125,1.42218017578125
19,331,16.0224609375,8.547943115234375,2.52215576171875,0.67193603515625,1.671630859375
20,298,16.1455078125,9.083328247070312,2.8564453125,0.660888671875,1.829345703125
21,265,16.27783203125,9.271408081054688,3.0823974609375,0.4678802490234375,1.99627685546875
22,232,16.35009765625,9.516265869140625,3.20123291015625,0.2842559814453125,2.17578125
23,199,16.30615234375,9.496368408203125,3.1744384765625,0.26513671875,2.25244140625
24,166,16.20751953125,9.3570556640625,2.9833984375,0.2359771728515625,2.3138427734375
25,133,15.9052734375,9.21923828125,3.04498291015625,0.30548095703125,2.274169921875
26,100,15.28271484375,9.373504638671875,2.93719482421875,0.3525543212890625,2.4747314453125
27,67,14.56201171875,9.720794677734375,2.450042724609375,0.3115997314453125,2.68408203125
28,34,13.6767578125,9.874786376953125,2.03369140625,0.401519775390625,3.064697265625
29,1,10.10400390625,8.65069580078125,1.588409423828125,0.29791259765625,3.29351806640625
