rank,feature_id,score
1,9928,-0.8823612332344055
2,3403,-0.8018805384635925
3,1401,-0.7391131520271301
4,4818,-0.7108456492424011
5,8408,-0.7059911489486694
6,7135,-0.6248795390129089
7,9485,-0.6205050349235535
8,824,-0.6110827326774597
9,8083,-0.59870845079422
10,6259,-0.5925410985946655
