block,step_idx,timestep,top1_feature_id,top1_score,topk_mass,topk_ids,topk_scores
unet.mid_block.attentions.0,0,958,699,4.37109375,22.53125,699 1697 2963 2298 2611 4145 444 2466 473 305,4.371094 3.617188 2.615234 1.877930 1.827148 1.778320 1.759766 1.668945 1.588867 1.421875
unet.mid_block.attentions.0,1,925,699,4.48828125,21.0625,699 1697 2963 473 2298 4145 1102 3865 2611 164,4.488281 2.908203 2.152344 1.857422 1.843750 1.720703 1.718750 1.587891 1.396484 1.386719
unet.mid_block.attentions.0,2,892,699,3.109375,16.703125,699 1697 3865 473 1102 2963 3914 85 3809 4145,3.109375 1.691406 1.662109 1.661133 1.507812 1.455078 1.439453 1.438477 1.374023 1.364258
unet.mid_block.attentions.0,3,859,2057,6.77734375,23.453125,2057 1148 3914 2260 4129 2963 1847 85 1464 3873,6.777344 3.654297 2.214844 1.689453 1.687500 1.610352 1.509766 1.499023 1.474609 1.342773
unet.mid_block.attentions.0,4,826,2057,8.921875,28.078125,2057 1148 4129 3914 2963 4833 2260 1649 1847 4956,8.921875 4.644531 2.195312 2.193359 1.897461 1.897461 1.680664 1.595703 1.593750 1.461914
unet.mid_block.attentions.0,5,793,2057,10.0,30.703125,2057 1148 4129 4833 2963 3914 2617 4956 2260 1847,10.000000 4.984375 2.527344 2.197266 2.056641 2.048828 1.862305 1.850586 1.656250 1.515625
unet.mid_block.attentions.0,6,760,2057,10.25,31.203125,2057 1148 4129 4833 2963 2617 4956 3914 4750 1565,10.250000 5.027344 2.486328 2.158203 2.138672 1.964844 1.915039 1.904297 1.801758 1.562500
unet.mid_block.attentions.0,7,727,2057,10.25,31.296875,2057 1148 4129 4833 2963 2617 4750 1565 3914 3865,10.250000 4.710938 2.363281 2.218750 2.130859 2.117188 2.005859 1.965820 1.785156 1.751953
unet.mid_block.attentions.0,8,694,2057,9.921875,30.703125,2057 1148 2617 4129 2963 1565 4833 4750 3865 1813,9.921875 4.433594 2.339844 2.164062 2.154297 2.121094 2.115234 2.031250 1.791016 1.632812
unet.mid_block.attentions.0,9,661,2057,9.6171875,30.28125,2057 1148 2617 4750 4129 4833 1565 2963 3865 1649,9.617188 4.347656 2.421875 2.199219 2.029297 2.019531 1.998047 1.997070 1.956055 1.701172
unet.mid_block.attentions.0,10,628,2057,9.1796875,29.59375,2057 1148 2617 4750 4129 4833 3865 1565 2963 1813,9.179688 4.304688 2.507812 2.431641 2.007812 1.973633 1.906250 1.788086 1.785156 1.702148
unet.mid_block.attentions.0,11,595,2057,8.421875,28.59375,2057 1148 4750 2617 4833 4129 2963 1813 3865 1649,8.421875 4.195312 2.660156 2.314453 2.013672 1.987305 1.833008 1.770508 1.705078 1.691406
unet.mid_block.attentions.0,12,562,2057,7.78125,28.0,2057 1148 4750 2617 4833 4129 2963 1813 1649 4956,7.781250 3.998047 3.017578 2.212891 1.981445 1.892578 1.888672 1.824219 1.722656 1.681641
unet.mid_block.attentions.0,13,529,2057,7.37890625,27.90625,2057 1148 4750 2617 4833 1813 2963 4129 1649 4956,7.378906 3.939453 3.160156 2.244141 1.989258 1.943359 1.887695 1.838867 1.827148 1.701172
unet.mid_block.attentions.0,14,496,2057,7.18359375,27.140625,2057 1148 4750 2617 1649 4129 1813 4833 4956 2963,7.183594 3.832031 3.242188 2.089844 1.889648 1.832031 1.825195 1.796875 1.723633 1.720703
unet.mid_block.attentions.0,15,463,2057,7.00390625,26.84375,2057 1148 4750 2617 1649 4833 4129 1813 2963 4956,7.003906 3.720703 3.166016 2.050781 1.880859 1.860352 1.833984 1.785156 1.774414 1.764648
unet.mid_block.attentions.0,16,430,2057,6.88671875,26.25,2057 1148 4750 2617 4956 1649 4129 1813 2963 4833,6.886719 3.689453 3.140625 1.875000 1.861328 1.833008 1.780273 1.779297 1.763672 1.635742
unet.mid_block.attentions.0,17,397,2057,6.76953125,25.65625,2057 1148 4750 1649 4956 1813 2963 2617 4129 4833,6.769531 3.562500 3.103516 1.883789 1.844727 1.778320 1.762695 1.727539 1.708984 1.515625
unet.mid_block.attentions.0,18,364,2057,6.6328125,25.65625,2057 1148 4750 4956 1649 1813 2963 4129 2617 473,6.632812 3.580078 3.042969 2.015625 1.942383 1.802734 1.779297 1.666992 1.646484 1.550781
unet.mid_block.attentions.0,19,331,2057,6.45703125,25.40625,2057 1148 4750 4956 1649 1813 2963 2617 4129 473,6.457031 3.599609 2.988281 2.062500 1.984375 1.773438 1.713867 1.613281 1.605469 1.602539
unet.mid_block.attentions.0,20,298,2057,6.140625,24.859375,2057 1148 4750 4956 1649 1813 2617 2963 473 4129,6.140625 3.539062 3.037109 2.050781 1.959961 1.775391 1.662109 1.577148 1.565430 1.546875
unet.mid_block.attentions.0,21,265,2057,5.77734375,24.1875,2057 1148 4750 4956 1649 1813 473 3971 2617 4129,5.777344 3.562500 3.056641 2.062500 1.911133 1.662109 1.561523 1.548828 1.539062 1.513672
unet.mid_block.attentions.0,22,232,2057,5.59375,23.8125,2057 1148 4750 4956 1649 2756 1813 2617 473 3971,5.593750 3.447266 3.130859 2.003906 1.857422 1.596680 1.596680 1.586914 1.517578 1.482422
unet.mid_block.attentions.0,23,199,2057,5.36328125,23.59375,2057 1148 4750 4956 1649 2756 1813 2617 2963 3971,5.363281 3.351562 3.251953 1.849609 1.800781 1.729492 1.632812 1.594727 1.546875 1.472656
unet.mid_block.attentions.0,24,166,2057,5.14453125,23.21875,2057 4750 1148 1649 2756 4956 1813 2617 3971 774,5.144531 3.318359 3.255859 1.771484 1.737305 1.708008 1.705078 1.688477 1.455078 1.439453
unet.mid_block.attentions.0,25,133,2057,4.9375,23.0625,2057 4750 1148 2756 4956 1649 1813 2617 774 4129,4.937500 3.265625 3.138672 1.750977 1.744141 1.722656 1.714844 1.695312 1.546875 1.546875
unet.mid_block.attentions.0,26,100,2057,4.92578125,22.890625,2057 4750 1148 2756 2617 1813 1649 774 4129 4956,4.925781 3.185547 2.919922 1.816406 1.801758 1.791992 1.698242 1.610352 1.577148 1.556641
unet.mid_block.attentions.0,27,67,2057,4.71875,22.015625,2057 4750 1148 2756 2617 1813 4129 1649 4956 774,4.718750 3.054688 2.716797 1.948242 1.887695 1.646484 1.577148 1.531250 1.514648 1.426758
unet.mid_block.attentions.0,28,34,2057,4.5234375,21.578125,2057 4750 1148 2617 2756 1813 4129 1649 4956 774,4.523438 3.001953 2.533203 2.058594 2.029297 1.587891 1.554688 1.479492 1.404297 1.398438
unet.mid_block.attentions.0,29,1,2057,3.314453125,18.21875,2057 4750 2617 1148 4129 2756 1871 4227 1813 4122,3.314453 2.664062 2.419922 2.011719 1.538086 1.464844 1.248047 1.190430 1.189453 1.172852
