block,step_idx,timestep,top1_feature_id,top1_score,topk_mass,topk_ids,topk_scores
unet.down_blocks.2.attentions.1,0,958,2226,5.34375,27.25,2226 3562 4622 3407 1769 1669 3668 2982 1068 4834,5.343750 5.207031 4.039062 2.980469 2.109375 1.849609 1.842773 1.323242 1.311523 1.249023
unet.down_blocks.2.attentions.1,1,925,2226,5.1484375,21.9375,2226 3407 4622 1769 2982 3562 1068 310 545 1857,5.148438 2.791016 2.576172 2.218750 1.833008 1.733398 1.461914 1.437500 1.413086 1.325195
unet.down_blocks.2.attentions.1,2,892,2226,4.828125,21.15625,2226 4622 3407 1769 2982 1068 3158 4144 545 4494,4.828125 2.371094 2.197266 2.128906 1.920898 1.890625 1.511719 1.489258 1.432617 1.383789
unet.down_blocks.2.attentions.1,3,859,2226,4.78125,21.078125,2226 1068 3668 2982 3328 4622 3158 1769 2278 2332,4.781250 2.408203 2.183594 2.103516 1.981445 1.728516 1.713867 1.500977 1.338867 1.334961
unet.down_blocks.2.attentions.1,4,826,2226,3.875,20.703125,2226 1068 3668 2982 3328 3158 3608 4921 2332 2278,3.875000 2.539062 2.468750 2.175781 1.931641 1.788086 1.565430 1.531250 1.421875 1.403320
unet.down_blocks.2.attentions.1,5,793,2226,3.318359375,20.375,2226 3668 1068 2982 3158 4921 3608 3328 2278 2332,3.318359 2.708984 2.603516 2.091797 1.799805 1.677734 1.668945 1.635742 1.439453 1.431641
unet.down_blocks.2.attentions.1,6,760,3668,2.970703125,20.015625,3668 2226 1068 2982 3608 3158 4921 3328 2278 2332,2.970703 2.830078 2.574219 2.019531 1.842773 1.792969 1.717773 1.430664 1.423828 1.409180
unet.down_blocks.2.attentions.1,7,727,3668,3.28515625,19.484375,3668 1068 2226 2982 3608 3158 4921 2278 2332 4681,3.285156 2.537109 2.382812 2.083984 1.971680 1.749023 1.556641 1.360352 1.317383 1.233398
unet.down_blocks.2.attentions.1,8,694,3668,3.533203125,19.5625,3668 1068 2982 3608 2226 3158 4681 4921 2059 782,3.533203 2.378906 2.132812 2.050781 1.894531 1.735352 1.596680 1.520508 1.382812 1.333984
unet.down_blocks.2.attentions.1,9,661,3668,3.748046875,19.8125,3668 1068 3608 2982 4681 3158 2059 4921 2226 2954,3.748047 2.195312 2.142578 2.044922 1.749023 1.744141 1.733398 1.531250 1.496094 1.420898
unet.down_blocks.2.attentions.1,10,628,3668,3.81640625,20.1875,3668 3608 2059 1068 2982 3158 4681 2954 4921 2002,3.816406 2.160156 2.033203 2.023438 1.956055 1.810547 1.718750 1.625000 1.543945 1.502930
unet.down_blocks.2.attentions.1,11,595,3668,3.658203125,20.09375,3668 2059 3608 1068 3158 2954 2982 4681 2002 4921,3.658203 2.167969 2.140625 1.906250 1.839844 1.807617 1.796875 1.666992 1.561523 1.541992
unet.down_blocks.2.attentions.1,12,562,3668,3.517578125,19.875,3668 2059 3608 2954 3158 1068 4681 2982 2002 4921,3.517578 2.275391 2.136719 1.937500 1.874023 1.820312 1.610352 1.568359 1.566406 1.565430
unet.down_blocks.2.attentions.1,13,529,3668,3.373046875,19.921875,3668 2059 2954 3608 3158 1068 4681 4921 4144 2002,3.373047 2.384766 2.115234 2.113281 1.903320 1.792969 1.652344 1.564453 1.516602 1.510742
unet.down_blocks.2.attentions.1,14,496,3668,3.216796875,19.90625,3668 2059 2954 3608 3158 1068 4681 4921 4144 2002,3.216797 2.466797 2.224609 2.083984 1.942383 1.731445 1.676758 1.590820 1.537109 1.428711
unet.down_blocks.2.attentions.1,15,463,3668,3.134765625,19.96875,3668 2059 2954 3608 3158 1068 4681 4921 4144 2002,3.134766 2.525391 2.285156 2.162109 1.978516 1.658203 1.641602 1.622070 1.509766 1.458008
unet.down_blocks.2.attentions.1,16,430,3668,3.02734375,20.03125,3668 2059 2954 3608 3158 4921 4681 1068 2002 4144,3.027344 2.599609 2.414062 2.158203 2.031250 1.652344 1.585938 1.573242 1.494141 1.487305
unet.down_blocks.2.attentions.1,17,397,3668,2.884765625,19.984375,3668 2059 2954 3608 3158 4921 2002 1068 4681 4144,2.884766 2.671875 2.449219 2.177734 2.062500 1.693359 1.540039 1.522461 1.500000 1.477539
unet.down_blocks.2.attentions.1,18,364,3668,2.78125,19.96875,3668 2059 2954 3608 3158 4921 2002 1068 4144 4681,2.781250 2.746094 2.449219 2.218750 2.072266 1.665039 1.605469 1.503906 1.490234 1.434570
unet.down_blocks.2.attentions.1,19,331,2059,2.818359375,19.890625,2059 3668 2954 3608 3158 2002 4921 4144 1068 4681,2.818359 2.699219 2.398438 2.230469 2.117188 1.668945 1.607422 1.489258 1.480469 1.383789
unet.down_blocks.2.attentions.1,20,298,2059,2.857421875,19.859375,2059 3668 2954 3608 3158 2002 4921 1068 4144 3407,2.857422 2.660156 2.361328 2.232422 2.125000 1.751953 1.571289 1.482422 1.463867 1.354492
unet.down_blocks.2.attentions.1,21,265,2059,2.892578125,19.890625,2059 3668 2954 3608 3158 2002 4921 1068 4144 3407,2.892578 2.564453 2.275391 2.267578 2.125000 1.868164 1.576172 1.472656 1.450195 1.397461
unet.down_blocks.2.attentions.1,22,232,2059,2.875,19.75,2059 3668 3608 3158 2954 2002 4921 4144 1068 3407,2.875000 2.523438 2.240234 2.128906 2.107422 1.971680 1.562500 1.474609 1.443359 1.423828
unet.down_blocks.2.attentions.1,23,199,2059,2.830078125,19.625,2059 3668 3608 2002 3158 2954 4921 4144 3407 1068,2.830078 2.480469 2.234375 2.105469 2.076172 1.999023 1.579102 1.475586 1.458984 1.378906
unet.down_blocks.2.attentions.1,24,166,2059,2.7890625,19.265625,2059 3668 2002 3608 3158 2954 4921 3407 4144 1068,2.789062 2.439453 2.210938 2.144531 2.035156 1.817383 1.610352 1.486328 1.438477 1.293945
unet.down_blocks.2.attentions.1,25,133,2059,2.759765625,18.921875,2059 3668 2002 3608 3158 2954 4921 3407 4144 1068,2.759766 2.427734 2.312500 2.173828 1.948242 1.601562 1.585938 1.482422 1.386719 1.248047
unet.down_blocks.2.attentions.1,26,100,2059,2.732421875,18.40625,2059 3668 2002 3608 3158 4921 3407 2954 4144 1068,2.732422 2.443359 2.394531 2.150391 1.798828 1.591797 1.462891 1.328125 1.328125 1.179688
unet.down_blocks.2.attentions.1,27,67,2059,2.681640625,17.78125,2059 2002 3668 3608 3158 4921 3407 4144 2080 2954,2.681641 2.472656 2.402344 2.072266 1.623047 1.567383 1.398438 1.285156 1.191406 1.085938
unet.down_blocks.2.attentions.1,28,34,2059,2.583984375,17.234375,2059 2002 3668 3608 4921 3158 3407 2080 4144 3070,2.583984 2.437500 2.367188 2.023438 1.547852 1.405273 1.317383 1.289062 1.188477 1.077148
unet.down_blocks.2.attentions.1,29,1,2002,2.259765625,15.625,2002 3668 2059 3608 2080 4921 3070 3407 320 4144,2.259766 2.212891 2.111328 2.037109 1.273438 1.273438 1.229492 1.147461 1.112305 0.968750
