block,step_idx,timestep,top1_feature_id,top1_score,topk_mass,topk_ids,topk_scores
unet.up_blocks.0.attentions.0,0,958,3234,4.75390625,27.578125,3234 1882 966 1101 2221 2680 2876 472 2399 2013,4.753906 3.214844 2.998047 2.832031 2.796875 2.339844 2.251953 2.158203 2.117188 2.111328
unet.up_blocks.0.attentions.0,1,925,2221,5.94140625,31.046875,2221 3234 1101 472 2876 966 1882 2680 2826 1068,5.941406 4.855469 3.039062 2.675781 2.675781 2.587891 2.503906 2.335938 2.250000 2.179688
unet.up_blocks.0.attentions.0,2,892,2221,6.796875,30.25,2221 2876 4094 2781 4463 3234 2826 3846 2838 472,6.796875 3.638672 3.144531 2.814453 2.720703 2.423828 2.375000 2.333984 2.013672 1.995117
unet.up_blocks.0.attentions.0,3,859,4094,5.50390625,32.8125,4094 2791 3846 3007 4907 715 2712 1595 4699 3785,5.503906 4.523438 3.449219 3.189453 2.902344 2.837891 2.828125 2.640625 2.591797 2.345703
unet.up_blocks.0.attentions.0,4,826,4094,5.7265625,40.375,4094 2791 2712 715 1595 3846 3007 4907 4699 1208,5.726562 5.515625 4.039062 4.039062 3.992188 3.841797 3.632812 3.554688 3.029297 3.005859
unet.up_blocks.0.attentions.0,5,793,2791,5.765625,42.125,2791 4094 2712 715 1595 4907 1208 3007 3846 4699,5.765625 5.394531 4.687500 4.515625 4.183594 4.031250 3.628906 3.437500 3.406250 3.062500
unet.up_blocks.0.attentions.0,6,760,2791,5.8515625,41.59375,2791 2712 4094 715 4907 1595 1208 3007 3846 3813,5.851562 4.988281 4.695312 4.445312 4.273438 4.058594 3.589844 3.416016 3.203125 3.070312
unet.up_blocks.0.attentions.0,7,727,2791,5.3984375,39.65625,2791 2712 715 4094 4907 1595 1208 3007 1510 3846,5.398438 4.921875 4.324219 4.171875 4.007812 3.570312 3.486328 3.267578 3.263672 3.250000
unet.up_blocks.0.attentions.0,8,694,2791,4.92578125,38.0,2791 2712 715 1510 4907 4094 3846 1208 1718 3007,4.925781 4.898438 4.097656 4.058594 3.595703 3.572266 3.396484 3.294922 3.126953 3.017578
unet.up_blocks.0.attentions.0,9,661,2712,4.703125,36.875,2712 2791 1510 715 3846 1718 4907 4094 1208 3785,4.703125 4.476562 4.406250 3.912109 3.718750 3.363281 3.128906 3.109375 3.042969 3.011719
