rank,feature_id,score
1,6341,-2.547393321990967
2,8468,-0.7416787147521973
3,2078,-0.6244693994522095
4,1613,-0.6162489056587219
5,2433,-0.615836501121521
6,3262,-0.6055846810340881
7,1712,-0.6050599813461304
8,5291,-0.6041615605354309
9,482,-0.5857731699943542
10,3733,-0.5777603387832642
