step_idx,timestep,feature_id,score_mode,primary_score,taris_score,saeuron_score,energy_pos,energy_neg,pos_mu_raw,neg_mu_raw,neg_sigma_raw,diff_raw,saeuron_term_raw,pos_mu_norm,neg_mu_norm,diff
0,981,5544,taris,0.0006303854170255363,0.0006303854170255363,61970.2265625,121.12913613183593,127.78182320458984,0.002768706763163209,0.0,0.0,0.002768706763163209,2768.706763163209,2.285747964180783e-05,0.0,2.285747964180783e-05
0,981,5567,taris,0.0005241269245743752,0.0005241269245743752,0.9594934582710266,121.12913613183593,127.78182320458984,0.002082519931718707,0.0007437133463099599,0.00295223924331367,0.0013388065854087472,0.4533349570103046,1.7192559925896854e-05,5.820181052818522e-06,1.1372378873078332e-05
0,981,2822,taris,0.0005086682504042983,0.0005086682504042983,3.8864428997039795,121.12913613183593,127.78182320458984,0.06643982231616974,0.05766967684030533,0.03723588585853577,0.00877014547586441,0.23552306466181142,0.0005485040547458143,0.00045131361717989536,9.719043756591897e-05
0,981,7622,taris,0.0004893297445960343,0.0004893297445960343,51.30037307739258,121.12913613183593,127.78182320458984,0.0002529907214920968,0.0,0.0,0.0002529907214920968,252.99072149209678,2.0886033663836567e-06,0.0,2.0886033663836567e-06
0,981,8142,taris,0.000462420895928517,0.000462420895928517,0.8268719911575317,121.12913613183593,127.78182320458984,0.004669341258704662,0.0011488341260701418,0.004787522368133068,0.0035205071326345205,0.7351969693329601,3.854845669519669e-05,8.990591128370098e-06,2.9557865566826596e-05
0,981,7110,taris,0.00044670389615930617,0.00044670389615930617,357.8079833984375,121.12913613183593,127.78182320458984,0.03587707132101059,0.007805785164237022,0.013815535232424736,0.028071286156773567,2.0317167570995434,0.00029618861709673457,6.108681945897171e-05,0.00023510179763776284
0,981,1283,taris,0.00043365982128307223,0.00043365982128307223,1.4462230205535889,121.12913613183593,127.78182320458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,3995,taris,0.00042526895413175225,0.00042526895413175225,2.972919464111328,121.12913613183593,127.78182320458984,0.07400468736886978,0.04367721080780029,0.02363383211195469,0.03032747656106949,1.283168690067809,0.0006109569483623139,0.0003418108281165254,0.0002691461202457885
0,981,2544,taris,0.00041959225200116634,0.00041959225200116634,1.9860061407089233,121.12913613183593,127.78182320458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,3071,taris,0.00041761971078813076,0.00041761971078813076,1.1159031391143799,121.12913613183593,127.78182320458984,0.016472620889544487,0.005655516870319843,0.011234108358621597,0.010817104019224644,0.9627948101563093,0.00013599222627672192,4.42591655721242e-05,9.173306070459772e-05
1,961,5544,taris,0.0006303854170255363,0.0006303854170255363,61970.2265625,118.33711342675781,127.12322335107422,0.006044311448931694,0.0,0.0,0.006044311448931694,6044.311448931694,5.107705667227289e-05,0.0,5.107705667227289e-05
1,961,5567,taris,0.0005241269245743752,0.0005241269245743752,0.9594934582710266,118.33711342675781,127.12322335107422,0.004369507078081369,0.002903594868257642,0.007834067568182945,0.0014659122098237276,0.18709630734731392,3.692423240309796e-05,2.2840790153966042e-05,1.4083442249131919e-05
1,961,2822,taris,0.0005086682504042983,0.0005086682504042983,3.8864428997039795,118.33711342675781,127.12322335107422,0.07421813905239105,0.04246765002608299,0.02950977347791195,0.03175048902630806,1.0758948439651193,0.000627175506510278,0.00033406681255084876,0.0002931086939594293
1,961,7622,taris,0.0004893297445960343,0.0004893297445960343,51.30037307739258,118.33711342675781,127.12322335107422,0.0016369629884138703,0.0005657959845848382,0.0027721517253667116,0.0010711670038290322,0.3862633962760854,1.3833048153798623e-05,4.45076807895508e-06,9.382280074843542e-06
1,961,8142,taris,0.000462420895928517,0.000462420895928517,0.8268719911575317,118.33711342675781,127.12322335107422,0.020725402981042862,0.0030384825076907873,0.009105677716434002,0.017686920473352075,1.942192424514385,0.00017513865583573154,2.3901868026894328e-05,0.00015123678780883722
1,961,7110,taris,0.00044670389615930617,0.00044670389615930617,357.8079833984375,118.33711342675781,127.12322335107422,0.060097191482782364,0.0073522948659956455,0.011590101756155491,0.05274489661678672,4.550464461997875,0.0005078473670897695,5.783596948050104e-05,0.0004500113976092684
1,961,1283,taris,0.00043365982128307223,0.00043365982128307223,1.4462230205535889,118.33711342675781,127.12322335107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,961,3995,taris,0.00042526895413175225,0.00042526895413175225,2.972919464111328,118.33711342675781,127.12322335107422,0.1304522603750229,0.039657749235630035,0.02561977133154869,0.09079451113939285,3.543785234427781,0.0011023782530893277,0.0003119630559249418,0.0007904151971643859
1,961,2544,taris,0.00041959225200116634,0.00041959225200116634,1.9860061407089233,118.33711342675781,127.12322335107422,0.003636932699009776,0.0002833557082340121,0.0019834900740534067,0.003353576990775764,1.6898935573539744,3.07336607569085e-05,2.228984608512271e-06,2.8504676148396225e-05
1,961,3071,taris,0.00041761971078813076,0.00041761971078813076,1.1159031391143799,118.33711342675781,127.12322335107422,0.01540984958410263,0.003185424953699112,0.010445249266922474,0.012224424630403519,1.1702214180463364,0.00013021992118846318,2.5057773628835493e-05,0.00010516214755962769
2,941,5544,taris,0.0006303854170255363,0.0006303854170255363,61970.2265625,121.7717066274414,129.42936806542968,0.020323636010289192,0.0,0.0,0.020323636010289192,20323.636010289192,0.00016689949228082212,0.0,0.00016689949228082212
2,941,5567,taris,0.0005241269245743752,0.0005241269245743752,0.9594934582710266,121.7717066274414,129.42936806542968,0.013543548062443733,0.006040344014763832,0.009198886342346668,0.007503204047679901,0.8155757330547647,0.0001112208117759243,4.666903736801289e-05,6.45517744079114e-05
2,941,2822,taris,0.0005086682504042983,0.0005086682504042983,3.8864428997039795,121.7717066274414,129.42936806542968,0.08972504734992981,0.04061555117368698,0.030339496210217476,0.04910949617624283,1.6186121623055294,0.000736830006205318,0.0003138047552944463,0.0004230252509108717
2,941,7622,taris,0.0004893297445960343,0.0004893297445960343,51.30037307739258,121.7717066274414,129.42936806542968,0.010571896098554134,0.004898376297205687,0.016959888860583305,0.005673519801348448,0.3345060419877858,8.681734362891604e-05,3.784594153878151e-05,4.897140209013453e-05
2,941,8142,taris,0.000462420895928517,0.000462420895928517,0.8268719911575317,121.7717066274414,129.42936806542968,0.11103364080190659,0.021023254841566086,0.10210365056991577,0.0900103859603405,0.8815503060627609,0.0009118180559102472,0.00016243032903427544,0.0007493877268759718
2,941,7110,taris,0.00044670389615930617,0.00044670389615930617,357.8079833984375,121.7717066274414,129.42936806542968,0.13358277082443237,0.01863265410065651,0.05022525042295456,0.11495011672377586,2.2886461911009186,0.00109699350139788,0.000143960017569098,0.0009530334838287819
2,941,1283,taris,0.00043365982128307223,0.00043365982128307223,1.4462230205535889,121.7717066274414,129.42936806542968,0.00021331787866074592,0.0,0.0,0.00021331787866074592,213.31787866074592,1.7517852428018322e-06,0.0,1.7517852428018322e-06
2,941,3995,taris,0.00042526895413175225,0.00042526895413175225,2.972919464111328,121.7717066274414,129.42936806542968,0.18267317116260529,0.0327535979449749,0.04140080511569977,0.1499195732176304,3.6210878438433145,0.0015001282007280306,0.00025306156117842714,0.0012470666395496036
2,941,2544,taris,0.00041959225200116634,0.00041959225200116634,1.9860061407089233,121.7717066274414,129.42936806542968,0.018560335040092468,0.002228393452242017,0.010607988573610783,0.01633194158785045,1.5394437909448946,0.00015241910911930896,1.7217061981756026e-05,0.00013520204713755293
2,941,3071,taris,0.00041761971078813076,0.00041761971078813076,1.1159031391143799,121.7717066274414,129.42936806542968,0.028723454102873802,0.005085296928882599,0.01464137714356184,0.023638157173991203,1.6143660924882508,0.00023587953965983866,3.929013179073746e-05,0.0001965894078691012
3,921,5544,taris,0.0006303854170255363,0.0006303854170255363,61970.2265625,125.35649208886718,132.34320168359375,0.02477768436074257,0.0006292724865488708,0.004404907580465078,0.024148411874193698,5.48091657239089,0.00019765776744276858,4.754853128408787e-06,0.0001929029143143598
3,921,5567,taris,0.0005241269245743752,0.0005241269245743752,0.9594934582710266,125.35649208886718,132.34320168359375,0.01601761020720005,0.00925521831959486,0.01314051728695631,0.00676239188760519,0.5145822769123656,0.0001277764712484529,6.993346240573993e-05,5.7843008842712974e-05
3,921,2822,taris,0.0005086682504042983,0.0005086682504042983,3.8864428997039795,125.35649208886718,132.34320168359375,0.1170230284333229,0.0409809872508049,0.046678610146045685,0.076042041182518,1.6290204854883448,0.0009335218821404435,0.000309656912704759,0.0006238649694356845
3,921,7622,taris,0.0004893297445960343,0.0004893297445960343,51.30037307739258,125.35649208886718,132.34320168359375,0.022438054904341698,0.011870117858052254,0.039112407714128494,0.010567937046289444,0.27018707046770835,0.00017899395978977306,8.969193511300522e-05,8.930202467676784e-05
3,921,8142,taris,0.000462420895928517,0.000462420895928517,0.8268719911575317,125.35649208886718,132.34320168359375,0.14296966791152954,0.027181701734662056,0.13372555375099182,0.11578796617686749,0.8658562037908549,0.0011405046960804878,0.00020538797149284701,0.0009351167245876408
3,921,7110,taris,0.00044670389615930617,0.00044670389615930617,357.8079833984375,125.35649208886718,132.34320168359375,0.16302645206451416,0.029056090861558914,0.06720540672540665,0.13397036120295525,1.9934165168260545,0.0013005026652224932,0.00021955106489735863,0.0010809516003251346
3,921,1283,taris,0.00043365982128307223,0.00043365982128307223,1.4462230205535889,125.35649208886718,132.34320168359375,0.0017884824192151427,0.0002996826369781047,0.0020977784879505634,0.001488799782237038,0.70936489524001,1.4267170287018397e-05,2.264435446367591e-06,1.2002734840650807e-05
3,921,3995,taris,0.00042526895413175225,0.00042526895413175225,2.972919464111328,125.35649208886718,132.34320168359375,0.22674010694026947,0.03237609937787056,0.05244564637541771,0.1943640075623989,3.7059377671381357,0.0018087623796901548,0.00024463741972387346,0.0015641249599662812
3,921,2544,taris,0.00041959225200116634,0.00041959225200116634,1.9860061407089233,125.35649208886718,132.34320168359375,0.03756881505250931,0.007994537241756916,0.029266558587551117,0.029574277810752392,1.0104798363103555,0.00029969580694613073,6.040761550313905e-05,0.00023928819144299168
3,921,3071,taris,0.00041761971078813076,0.00041761971078813076,1.1159031391143799,125.35649208886718,132.34320168359375,0.028063198551535606,0.005653380416333675,0.017721476033329964,0.02240981813520193,1.2644857351228274,0.0002238671335158387,4.271757328230416e-05,0.00018114956023353455
4,901,5544,taris,0.0006303854170255363,0.0006303854170255363,61970.2265625,128.53140358789062,134.99485878808593,0.04014404118061066,0.0006109619280323386,0.0042767333798110485,0.03953307925257832,9.24159496221911,0.00031232866101209186,4.525816268243391e-06,0.00030780284474384847
4,901,5567,taris,0.0005241269245743752,0.0005241269245743752,0.9594934582710266,128.53140358789062,134.99485878808593,0.013634949922561646,0.008593139238655567,0.014986030757427216,0.005041810683906078,0.3364115791520263,0.00010608263460873183,6.365530743763377e-05,4.242732717109807e-05
4,901,2822,taris,0.0005086682504042983,0.0005086682504042983,3.8864428997039795,128.53140358789062,134.99485878808593,0.1484547108411789,0.037463679909706116,0.04821786284446716,0.11099103093147278,2.301817678477425,0.0011550073110316935,0.00027751930885394947,0.0008774880021777439
4,901,7622,taris,0.0004893297445960343,0.0004893297445960343,51.30037307739258,128.53140358789062,134.99485878808593,0.03773971647024155,0.014951021410524845,0.06557831168174744,0.0227886950597167,0.3474982349663703,0.0002936225343904759,0.00011075252453869271,0.00018287000985178317
4,901,8142,taris,0.000462420895928517,0.000462420895928517,0.8268719911575317,128.53140358789062,134.99485878808593,0.1585729718208313,0.030607914552092552,0.1490325629711151,0.12796505726873875,0.8586324765887818,0.0012337294030434986,0.00022673392769824414,0.0010069954753452544
4,901,7110,taris,0.00044670389615930617,0.00044670389615930617,357.8079833984375,128.53140358789062,134.99485878808593,0.17859771847724915,0.03293868899345398,0.06720840185880661,0.14565902948379517,2.1672418658001953,0.0013895259328987476,0.00024399958108894297,0.0011455263518098046
4,901,1283,taris,0.00043365982128307223,0.00043365982128307223,1.4462230205535889,128.53140358789062,134.99485878808593,0.0023651123046875,0.00033386232098564506,0.002337035955861211,0.002031249983701855,0.868784750127441,1.840104627092336e-05,2.4731484145610316e-06,1.592789785636233e-05
4,901,3995,taris,0.00042526895413175225,0.00042526895413175225,2.972919464111328,128.53140358789062,134.99485878808593,0.24443647265434265,0.031376950442790985,0.04984232783317566,0.21305952221155167,4.274584612902582,0.0019017645947295315,0.00023243070680229624,0.0016693338879272353
4,901,2544,taris,0.00041959225200116634,0.00041959225200116634,1.9860061407089233,128.53140358789062,134.99485878808593,0.05820845440030098,0.009299315512180328,0.040174197405576706,0.04890913888812065,1.2173963551285896,0.00045287340506242627,6.888644201464246e-05,0.0003839869630477838
4,901,3071,taris,0.00041761971078813076,0.00041761971078813076,1.1159031391143799,128.53140358789062,134.99485878808593,0.03423767164349556,0.009251405484974384,0.023187002167105675,0.024986266158521175,1.0775514845330878,0.0002663759259431382,6.853153940845392e-05,0.00019784438653468428
5,881,5544,taris,0.0006303854170255363,0.0006303854170255363,61970.2265625,131.35524086816406,137.21713356835937,0.05961395055055618,0.0003216552431695163,0.002251586876809597,0.05929229530738667,26.321868389539777,0.0004538376250277543,2.3441332347120695e-06,0.00045149349179304224
5,881,5567,taris,0.0005241269245743752,0.0005241269245743752,0.9594934582710266,131.35524086816406,137.21713356835937,0.011728057637810707,0.009292450733482838,0.01738806441426277,0.0024356069043278694,0.1400654368920589,8.928503773657333e-05,6.77207757648828e-05,2.1564261971690528e-05
