group,n,sum_mean,sum_p50,sum_p90,down.2.1_mean,mid.0_mean,up.0.0_mean,up.0.1_mean
ar90_all_top10_scale3000,20,0.1741898801678196,0.16537758238570796,0.29563876496614055,0.07680481588256112,0.024332915236374195,0.018270706105430374,0.054781442943453905
ar90_all_top10_scale5000,20,0.2360717525506968,0.21685475117515263,0.3635866379165516,0.1149639237880575,0.03143282432780352,0.02173870561192382,0.06793629882291193
ar90_all_top15_scale3000,20,0.197230387315168,0.19252695454829014,0.31671327649370234,0.09141451588966662,0.02624305049713351,0.022994548628490128,0.05657827229987776
ar90_all_top15_scale5000,20,0.27941580432044943,0.248740543965506,0.4689883320726308,0.13618371867366016,0.03655981559007367,0.02734503072924177,0.0793272393274738
ar90_all_top20_scale3000,20,0.22094690783913556,0.20665996369317519,0.35662601036584984,0.1001770506275506,0.029834496872103062,0.025410635180379622,0.06552472515910227
ar90_all_top20_scale5000,20,0.30225069801576965,0.29862678748977656,0.4379153936482588,0.1417895842094654,0.041650050126285205,0.03206455815950145,0.0867465055205176
ar95_all_top10_scale3000,20,0.2407112824517576,0.22253947537474494,0.36117086093879613,0.06859025447745959,0.02373901812022716,0.04051594715710138,0.1078660626969695
ar95_all_top10_scale5000,20,0.3149679878320224,0.267755573427588,0.4976365388854206,0.09963813847005995,0.025524583608909097,0.05466017578069012,0.13514508997236324
ar95_all_top15_scale3000,20,0.267043465027726,0.2648874454058706,0.34113154561554265,0.08677696414416343,0.02428267020201725,0.04149559157515638,0.11448823910638894
ar95_all_top15_scale5000,20,0.37735514196522113,0.33570537773023856,0.5409800411684802,0.13059690962263074,0.025209564360519732,0.06225303714868983,0.15929563083338086
ar95_all_top20_scale3000,20,0.30771703136221257,0.26918827096072406,0.46592147994239136,0.1044109418784344,0.030263985756930824,0.04668344750521914,0.12635865622162823
ar95_all_top20_scale5000,20,0.4034658841685482,0.3714195796631847,0.5891667361537429,0.1461727852000271,0.0366780183241142,0.06467279531367852,0.15594228533072832
q99_50_top10_scale3000,20,0.32426483888862806,0.3200184541723873,0.4115506262438976,0.08518487046804704,0.03319579567500383,0.07028583627049104,0.13559833647508615
q99_50_top10_scale5000,20,0.47493416839989455,0.4842845955828988,0.642038686874572,0.12850112683536602,0.04880009646325093,0.11295476412494025,0.1846781809763374
q99_50_top15_scale3000,20,0.4623461983151965,0.4340676657447781,0.6048034742272541,0.1239474212226005,0.04621170135143393,0.10787442411967005,0.18431265162149196
q99_50_top15_scale5000,20,0.6631365838102669,0.6446549445180996,0.8295727845318883,0.18469816105269332,0.06083884906215318,0.17351366674594276,0.24408590694947757
q99_50_top20_scale3000,20,0.5094259377411527,0.49275319115340505,0.6464175767729657,0.13166933715310844,0.05786825391261842,0.11684544048682075,0.20304290618860515
q99_50_top20_scale5000,20,0.7457288158435084,0.7339646041935497,0.9186415401888575,0.19203477798219298,0.07645777299107594,0.2019230224743298,0.27531324239590965
