rank,feature_id,score
1,44,0.024944135919213295
2,751,0.020719001069664955
3,2752,0.004303109832108021
4,369,0.0033115260303020477
5,178,0.0032701962627470493
6,3703,0.002898129168897867
7,4056,0.002627191599458456
8,5056,0.0023253262042999268
9,4660,0.0022703916765749454
10,4285,0.0022432957775890827
11,3364,0.0022323355078697205
12,565,0.002150073414668441
13,1288,0.002128926105797291
14,3913,0.0020057279616594315
15,594,0.001992909237742424
16,1746,0.0019334722310304642
17,3543,0.001920277951285243
18,779,0.0019086748361587524
19,3261,0.0018713902682065964
20,3492,0.0018438870320096612
21,2131,0.001797797391191125
22,652,0.0017049619928002357
23,2521,0.0016122879460453987
24,1196,0.0015268372371792793
25,2463,0.0015211678110063076
26,4336,0.0015131306136026978
27,4919,0.0014897474320605397
28,3041,0.0014308367390185595
29,1424,0.001403100905008614
30,3425,0.0013710658531636
31,2100,0.0013619564706459641
32,1929,0.001325138844549656
33,743,0.001251911511644721
34,152,0.001219575759023428
35,3301,0.0011512688361108303
36,1962,0.0011157027911394835
37,4581,0.001086539588868618
38,4851,0.001028289319947362
39,5099,0.0009932012762874365
40,479,0.0009906769264489412
41,2876,0.0009884450118988752
42,1364,0.0009628549451008439
43,2825,0.0009414635715074837
44,4640,0.0009375404333695769
45,2716,0.0009323620470240712
46,702,0.0008594688260927796
47,2640,0.0008517825044691563
48,3724,0.0008458567899651825
49,839,0.0008314092410728335
50,2146,0.0008210797677747905
