block,step_idx,timestep,feature_ids,feature_scores,top1_in_set_feature_id,top1_in_set_score,set_mass
unet.down_blocks.2.attentions.1,0,958,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.006783,2057,0.00678253173828125,0.00678253173828125
unet.down_blocks.2.attentions.1,1,925,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.063416,2057,0.06341552734375,0.06341552734375
unet.down_blocks.2.attentions.1,2,892,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.008308 0.000000 0.000000 0.000000 0.000000 0.004841,1517,0.00830841064453125,0.013149261474609375
unet.down_blocks.2.attentions.1,3,859,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.002106 0.007568 0.000000 0.000000 0.000000 0.000000 0.000000,1517,0.007568359375,0.009674072265625
unet.down_blocks.2.attentions.1,4,826,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.007107 0.000000 0.000000 0.000000 0.000000 0.000000,1517,0.007106781005859375,0.007106781005859375
unet.down_blocks.2.attentions.1,5,793,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.005875 0.000000 0.000000 0.000000 0.000000 0.000000,1517,0.0058746337890625,0.0058746337890625
unet.down_blocks.2.attentions.1,6,760,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,7,727,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,8,694,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.005482 0.000000 0.000000 0.000000 0.000000 0.000000,1517,0.005481719970703125,0.005481719970703125
unet.down_blocks.2.attentions.1,9,661,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.005619 0.000000 0.000000 0.000000 0.000000 0.000000,1517,0.005619049072265625,0.005619049072265625
unet.down_blocks.2.attentions.1,10,628,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.005619 0.000000 0.000000 0.000000 0.000000 0.000000,1517,0.005619049072265625,0.005619049072265625
unet.down_blocks.2.attentions.1,11,595,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,12,562,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,13,529,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,14,496,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,15,463,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,16,430,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,17,397,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,18,364,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,19,331,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,20,298,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,21,265,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,22,232,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,23,199,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,24,166,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,25,133,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,26,100,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,27,67,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,28,34,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
unet.down_blocks.2.attentions.1,29,1,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1102,0.0,0.0
