block,step_idx,timestep,feature_ids,feature_scores,top1_in_set_feature_id,top1_in_set_score,set_mass
unet.mid_block.attentions.0,0,958,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.716797 1.136719 0.229248 0.230347 0.203857 0.000000 0.000000 0.194214 0.056396 0.000000,3865,1.13671875,2.767578125
unet.mid_block.attentions.0,1,925,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.718750 1.587891 0.819824 0.778320 0.541016 0.053192 0.000000 0.173218 0.243530 0.015991,1102,1.71875,5.931732177734375
unet.mid_block.attentions.0,2,892,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.507812 1.662109 1.187500 1.374023 0.566895 0.112793 0.657715 0.078857 0.532227 1.147461,3865,1.662109375,8.827392578125
unet.mid_block.attentions.0,3,859,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.882812 1.238281 0.815430 1.016602 0.152832 0.039062 1.342773 0.000000 0.514160 6.777344,2057,6.77734375,12.779296875
unet.mid_block.attentions.0,4,826,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.870117 1.138672 0.638672 0.836914 0.171631 0.107361 1.147461 0.000000 0.619141 8.921875,2057,8.921875,14.45184326171875
unet.mid_block.attentions.0,5,793,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.950195 1.316406 0.672852 0.833984 0.209229 0.163574 1.151367 0.000000 0.671875 10.000000,2057,10.0,15.969482421875
unet.mid_block.attentions.0,6,760,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.122070 1.474609 0.679199 0.875000 0.180908 0.215088 1.113281 0.000000 0.698242 10.250000,2057,10.25,16.6083984375
unet.mid_block.attentions.0,7,727,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.090820 1.751953 0.655273 1.025391 0.212402 0.197876 1.061523 0.000000 0.700195 10.250000,2057,10.25,16.9454345703125
unet.mid_block.attentions.0,8,694,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.171875 1.791016 0.634277 0.916016 0.234131 0.206421 1.096680 0.000000 0.709473 9.921875,2057,9.921875,16.6817626953125
unet.mid_block.attentions.0,9,661,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.201172 1.956055 0.658203 0.828613 0.281494 0.309814 1.074219 0.000000 0.706055 9.617188,2057,9.6171875,16.6328125
unet.mid_block.attentions.0,10,628,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.156250 1.906250 0.642578 0.636230 0.307129 0.333496 1.020508 0.000000 0.665039 9.179688,2057,9.1796875,15.84716796875
unet.mid_block.attentions.0,11,595,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.041016 1.705078 0.657715 0.374756 0.238037 0.259521 0.989746 0.029327 0.681152 8.421875,2057,8.421875,14.398223876953125
unet.mid_block.attentions.0,12,562,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.904297 1.624023 0.672363 0.267334 0.248291 0.227783 0.934082 0.030518 0.686523 7.781250,2057,7.78125,13.37646484375
unet.mid_block.attentions.0,13,529,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.817383 1.397461 0.679199 0.261230 0.246826 0.213745 0.890625 0.044495 0.692871 7.378906,2057,7.37890625,12.62274169921875
unet.mid_block.attentions.0,14,496,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.797852 1.320312 0.676758 0.220703 0.277588 0.181519 0.851074 0.061340 0.700195 7.183594,2057,7.18359375,12.27093505859375
unet.mid_block.attentions.0,15,463,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.911133 1.190430 0.687988 0.165283 0.304443 0.132080 0.867188 0.065857 0.708496 7.003906,2057,7.00390625,12.03680419921875
unet.mid_block.attentions.0,16,430,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.867676 1.047852 0.677734 0.108765 0.322021 0.083130 0.910645 0.102661 0.731445 6.886719,2057,6.88671875,11.7386474609375
unet.mid_block.attentions.0,17,397,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.944336 1.027344 0.690430 0.076172 0.352295 0.110229 0.917969 0.107849 0.756836 6.769531,2057,6.76953125,11.75299072265625
unet.mid_block.attentions.0,18,364,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.850586 0.923828 0.688965 0.041595 0.377197 0.087891 0.918457 0.110962 0.757324 6.632812,2057,6.6328125,11.389617919921875
unet.mid_block.attentions.0,19,331,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.895996 0.928711 0.683594 0.055420 0.358887 0.089722 0.909668 0.096130 0.769043 6.457031,2057,6.45703125,11.24420166015625
unet.mid_block.attentions.0,20,298,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.936523 0.794922 0.671875 0.037048 0.364258 0.090393 0.849609 0.078247 0.758789 6.140625,2057,6.140625,10.7222900390625
unet.mid_block.attentions.0,21,265,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.949707 0.657227 0.667969 0.016922 0.348633 0.067993 0.776855 0.115112 0.778809 5.777344,2057,5.77734375,10.156570434570312
unet.mid_block.attentions.0,22,232,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.997559 0.769531 0.665039 0.017410 0.350830 0.067444 0.788574 0.117737 0.765137 5.593750,2057,5.59375,10.133010864257812
unet.mid_block.attentions.0,23,199,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.110352 0.801758 0.683594 0.018188 0.351807 0.075500 0.802734 0.134644 0.751465 5.363281,2057,5.36328125,10.09332275390625
unet.mid_block.attentions.0,24,166,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.174805 0.741211 0.682617 0.036072 0.351807 0.076721 0.801270 0.116699 0.736816 5.144531,2057,5.14453125,9.862548828125
unet.mid_block.attentions.0,25,133,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.181641 0.720215 0.674316 0.000000 0.351074 0.052521 0.812500 0.132568 0.721680 4.937500,2057,4.9375,9.584014892578125
unet.mid_block.attentions.0,26,100,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.252930 0.699707 0.631348 0.019302 0.326416 0.053101 0.810547 0.123901 0.695801 4.925781,2057,4.92578125,9.538833618164062
unet.mid_block.attentions.0,27,67,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.156250 0.698242 0.588867 0.000000 0.314209 0.053223 0.831543 0.125854 0.669434 4.718750,2057,4.71875,9.1563720703125
unet.mid_block.attentions.0,28,34,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,1.115234 0.589844 0.625977 0.000000 0.278809 0.051575 0.851074 0.099915 0.607910 4.523438,2057,4.5234375,8.7437744140625
unet.mid_block.attentions.0,29,1,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.864258 0.746582 0.649902 0.022293 0.176147 0.020859 0.805176 0.163330 0.405273 3.314453,2057,3.314453125,7.16827392578125
