step_idx,timestep,baseline,main,early,late
0,958,1.664825439453125,1.664825439453125,0.9310302734375,1.664825439453125
1,925,5.70947265625,5.70947265625,1.5928955078125,5.70947265625
2,892,5.771026611328125,5.771026611328125,1.249786376953125,5.771026611328125
3,859,7.37841796875,7.37841796875,1.4752197265625,7.37841796875
4,826,7.944061279296875,6.939208984375,3.041900634765625,7.944061279296875
5,793,8.33935546875,4.8133544921875,3.596710205078125,8.33935546875
6,760,8.173934936523438,2.38336181640625,3.69561767578125,8.173934936523438
7,727,8.148460388183594,1.063079833984375,2.964111328125,8.148460388183594
8,694,8.221183776855469,0.43524169921875,2.7468414306640625,8.221183776855469
9,661,8.315505981445312,0.24958038330078125,2.6451416015625,8.315505981445312
10,628,8.36590576171875,0.2974395751953125,2.6214141845703125,8.36590576171875
11,595,8.39422607421875,0.4470977783203125,2.569244384765625,8.39422607421875
12,562,8.329833984375,0.6427230834960938,2.63446044921875,8.329833984375
13,529,8.201484680175781,2.4002761840820312,2.525115966796875,6.666259765625
14,496,8.1715087890625,3.084930419921875,2.5418548583984375,6.215110778808594
15,463,8.04693603515625,3.58660888671875,2.45965576171875,5.567626953125
16,430,7.876708984375,3.892669677734375,2.25616455078125,4.967041015625
17,397,7.791748046875,4.165802001953125,2.027496337890625,4.498291015625
18,364,7.649658203125,4.55474853515625,1.9825592041015625,3.864501953125
19,331,7.581298828125,4.85931396484375,2.012969970703125,3.6019287109375
20,298,7.4345703125,5.1600799560546875,1.981475830078125,4.03857421875
21,265,7.556640625,5.135261535644531,1.977081298828125,4.4461669921875
22,232,7.2333984375,5.047027587890625,1.930389404296875,3.45184326171875
23,199,7.19091796875,5.093109130859375,1.9672698974609375,1.83648681640625
24,166,7.09375,4.929595947265625,1.904144287109375,0.7522735595703125
25,133,7.236328125,4.77142333984375,1.83544921875,0.4093475341796875
26,100,7.21478271484375,4.5980377197265625,1.69036865234375,0.29443359375
27,67,6.818229675292969,4.474151611328125,1.588592529296875,0.348388671875
28,34,6.7237091064453125,4.188087463378906,1.6297607421875,0.5380859375
29,1,6.75830078125,3.3624267578125,2.113189697265625,1.55859375
