step_idx,timestep,feature_id,taris_score,pos_mu,neg_mu,diff
0,958,4807,0.006879318505525589,0.5053864121437073,0.0038969421293586493,0.5014894604682922
0,958,2002,0.005419986788183451,0.07914730161428452,0.0022591399028897285,0.07688815891742706
0,958,3481,0.0036092393565922976,0.3046875,0.0,0.3046875
0,958,1498,0.0034245431888848543,0.11127891391515732,0.012107696384191513,0.0991712212562561
0,958,3805,0.0032500072848051786,0.1438281238079071,0.0,0.1438281238079071
0,958,228,0.0031250123865902424,0.4267614781856537,0.009755859151482582,0.41700562834739685
0,958,206,0.0029210331849753857,0.41343170404434204,0.03579093888401985,0.3776407539844513
0,958,438,0.0028704162687063217,0.20868247747421265,0.0036147309001535177,0.20506775379180908
0,958,4969,0.0028697806410491467,0.0597589872777462,0.0,0.0597589872777462
0,958,3852,0.0026643271557986736,0.34923815727233887,0.07187679409980774,0.27736136317253113
0,958,2107,0.0026140636764466763,0.20221289992332458,0.0004354858538135886,0.2017774134874344
0,958,3639,0.0025041992776095867,0.053531721234321594,0.0006674957112409174,0.05286422371864319
0,958,2627,0.002368117216974497,0.23631897568702698,0.006405944935977459,0.22991302609443665
0,958,489,0.002267313189804554,0.021756324917078018,0.00023727417283225805,0.021519050002098083
0,958,3112,0.002235246356576681,0.008492660708725452,0.00021484374883584678,0.008277816697955132
0,958,1707,0.0021136426366865635,0.3602384924888611,0.006926422007381916,0.35331207513809204
0,958,3437,0.002005837857723236,0.15526893734931946,0.18148742616176605,-0.026218488812446594
0,958,92,0.002005224348977208,0.07138671725988388,0.0,0.07138671725988388
0,958,3445,0.0019646035507321358,0.02777252160012722,0.0032781981863081455,0.024494323879480362
0,958,2083,0.001895222463645041,0.05993102863430977,0.00610553752630949,0.053825490176677704
0,958,1960,0.0018764374544844031,0.14857544004917145,0.0049032592214643955,0.1436721831560135
0,958,3409,0.0018286872655153275,0.17159217596054077,0.001172561664134264,0.1704196184873581
0,958,3529,0.001744752749800682,0.2640380859375,0.008121337741613388,0.2559167444705963
0,958,4868,0.0017044518608599901,0.17859375476837158,0.00019088745466433465,0.1784028708934784
0,958,1687,0.0017040406819432974,0.1177542507648468,0.052754782140254974,0.06499946862459183
0,958,1456,0.0016957322368398309,1.0658671855926514,1.1881659030914307,-0.1222987174987793
0,958,2644,0.0016921532806009054,0.17781250178813934,0.0,0.17781250178813934
0,958,229,0.0016860354226082563,0.05457855388522148,0.0,0.05457855388522148
0,958,1179,0.0016303634038195014,0.20160552859306335,0.0010055542225018144,0.20059996843338013
0,958,723,0.001441081170924008,0.054960936307907104,0.0,0.054960936307907104
0,958,981,0.0014377112966030836,0.16548369824886322,0.0,0.16548369824886322
0,958,1488,0.0014291396364569664,0.03901611268520355,0.0,0.03901611268520355
0,958,1134,0.0014191820519044995,0.2557559311389923,0.0002215576241724193,0.2555343806743622
0,958,3434,0.0013899392215535045,0.06678100675344467,0.0011126708704978228,0.06566833704710007
0,958,1436,0.001377257751300931,0.10483642667531967,0.0,0.10483642667531967
0,958,1749,0.0013752978993579745,0.09906860440969467,0.0,0.09906860440969467
0,958,4752,0.0012833105865865946,0.13141387701034546,0.00046783447032794356,0.13094604015350342
0,958,690,0.0012780316174030304,0.1680545061826706,0.005549239926040173,0.16250526905059814
0,958,615,0.001256949850358069,0.19312499463558197,0.0,0.19312499463558197
0,958,2916,0.0012342168483883142,0.27546873688697815,0.0,0.27546873688697815
0,958,535,0.0012315738713368773,0.16086067259311676,0.06675072014331818,0.09410995244979858
0,958,4390,0.0012259921059012413,0.1439862847328186,0.0015355682699009776,0.1424507200717926
0,958,3225,0.00122350943274796,0.07388084381818771,0.04081283509731293,0.033068008720874786
0,958,782,0.0012125830398872495,0.08321502804756165,0.0024873733054846525,0.08072765171527863
0,958,5008,0.0011901367688551545,0.0537455752491951,0.003013000590726733,0.0507325753569603
0,958,3475,0.0011415155604481697,0.0250341035425663,0.028713112697005272,-0.0036790091544389725
0,958,2503,0.0011336588067933917,0.0925610363483429,0.0,0.0925610363483429
0,958,2452,0.0011320055928081274,0.18922729790210724,0.0006971740513108671,0.1885301172733307
0,958,4423,0.0011177726555615664,0.012043457478284836,0.0,0.012043457478284836
0,958,3360,0.0011112191714346409,0.157205730676651,0.03142673522233963,0.12577900290489197
1,925,4807,0.006879318505525589,0.6256595849990845,0.017271576449275017,0.6083880066871643
1,925,2002,0.005419986788183451,0.25344884395599365,0.028613585978746414,0.22483526170253754
1,925,3481,0.0036092393565922976,0.3490625023841858,0.0,0.3490625023841858
1,925,1498,0.0034245431888848543,0.22999946773052216,0.0662965402007103,0.16370293498039246
1,925,3805,0.0032500072848051786,0.3572779893875122,0.0007055664318613708,0.3565724194049835
1,925,228,0.0031250123865902424,0.2610865831375122,0.008061523549258709,0.2530250549316406
1,925,206,0.0029210331849753857,0.4933583736419678,0.07122856378555298,0.4221298098564148
1,925,438,0.0028704162687063217,0.289439857006073,0.004539184737950563,0.2849006652832031
1,925,4969,0.0028697806410491467,0.14867492020130157,0.0024536133278161287,0.1462213099002838
1,925,3852,0.0026643271557986736,0.5362818837165833,0.10584396123886108,0.43043792247772217
1,925,2107,0.0026140636764466763,0.2557574510574341,0.00011184692266397178,0.25564560294151306
1,925,3639,0.0025041992776095867,0.1311199963092804,0.0007580566452816129,0.13036194443702698
1,925,2627,0.002368117216974497,0.2623801529407501,0.005066833458840847,0.2573133111000061
1,925,489,0.002267313189804554,0.0593830868601799,0.0015746689168736339,0.057808417826890945
1,925,3112,0.002235246356576681,0.0546242892742157,0.0062843323685228825,0.048339955508708954
1,925,1707,0.0021136426366865635,0.32912877202033997,0.0024449157062917948,0.3266838490962982
1,925,3437,0.002005837857723236,0.21073395013809204,0.19592727720737457,0.014806672930717468
1,925,92,0.002005224348977208,0.09177978336811066,0.00015075683768372983,0.0916290283203125
1,925,3445,0.0019646035507321358,0.05682022124528885,0.01908256486058235,0.0377376563847065
1,925,2083,0.001895222463645041,0.12838272750377655,0.008723526261746883,0.11965920031070709
1,925,1960,0.0018764374544844031,0.32586944103240967,0.025228729471564293,0.30064070224761963
1,925,3409,0.0018286872655153275,0.2313976287841797,0.009989776648581028,0.22140784561634064
1,925,3529,0.001744752749800682,0.2900390625,0.0028042602352797985,0.2872348129749298
1,925,4868,0.0017044518608599901,0.22953124344348907,0.0,0.22953124344348907
1,925,1687,0.0017040406819432974,0.1740657091140747,0.0908132940530777,0.08325241506099701
1,925,1456,0.0016957322368398309,1.0147448778152466,0.9922921657562256,0.022452712059020996
1,925,2644,0.0016921532806009054,0.2214062511920929,0.0,0.2214062511920929
1,925,229,0.0016860354226082563,0.18333961069583893,0.021768799051642418,0.16157081723213196
1,925,1179,0.0016303634038195014,0.26020264625549316,0.0023391724098473787,0.25786346197128296
1,925,723,0.001441081170924008,0.08773437142372131,0.0,0.08773437142372131
1,925,981,0.0014377112966030836,0.09128234535455704,0.00013610839960165322,0.09114623814821243
1,925,1488,0.0014291396364569664,0.11244674772024155,0.0,0.11244674772024155
