step_idx,timestep,baseline,main,early,late
0,958,1.237213134765625,1.237213134765625,1.237213134765625,1.237213134765625
1,925,1.0859222412109375,1.0859222412109375,1.1053619384765625,1.0859222412109375
2,892,1.02301025390625,1.02301025390625,1.023681640625,1.02301025390625
3,859,0.9961700439453125,0.9961700439453125,0.9615020751953125,0.9961700439453125
4,826,0.9294891357421875,0.9294891357421875,0.929046630859375,0.9294891357421875
5,793,0.9745559692382812,0.9753341674804688,1.0088348388671875,0.9745559692382812
6,760,1.07562255859375,1.065826416015625,1.043365478515625,1.07562255859375
7,727,0.949249267578125,0.9538421630859375,0.986419677734375,0.949249267578125
8,694,0.95867919921875,0.9625396728515625,0.9592742919921875,0.95867919921875
9,661,1.231231689453125,1.2374267578125,1.2334136962890625,1.231231689453125
10,628,1.228759765625,1.2926788330078125,1.2845916748046875,1.228759765625
11,595,1.4671630859375,1.484039306640625,1.4830322265625,1.4671630859375
12,562,1.637603759765625,1.5321044921875,1.58123779296875,1.637603759765625
13,529,1.7332916259765625,1.733734130859375,1.6891632080078125,1.7332916259765625
14,496,1.8419952392578125,1.8685302734375,1.84808349609375,1.85943603515625
15,463,2.0252532958984375,2.030487060546875,2.0512237548828125,2.0598297119140625
16,430,2.0776214599609375,2.10882568359375,2.12188720703125,2.1348114013671875
17,397,2.059173583984375,2.124847412109375,2.044464111328125,2.1241455078125
18,364,2.06256103515625,2.170166015625,2.0557861328125,2.043212890625
19,331,2.142791748046875,2.2022857666015625,2.10296630859375,2.1596832275390625
20,298,2.2362060546875,2.2156524658203125,2.22344970703125,2.2728271484375
21,265,2.32550048828125,2.2720947265625,2.264373779296875,2.244598388671875
22,232,2.2038726806640625,2.2593994140625,2.1620635986328125,2.2063140869140625
23,199,2.269989013671875,2.21533203125,2.081512451171875,2.1414794921875
24,166,2.2066650390625,2.202392578125,2.185791015625,2.2313232421875
25,133,2.225189208984375,2.1625823974609375,2.2431640625,2.307037353515625
26,100,2.1873779296875,2.216552734375,2.22015380859375,2.2210235595703125
27,67,2.13995361328125,2.2113037109375,2.1702880859375,2.2471160888671875
28,34,2.26959228515625,2.3177490234375,2.25946044921875,2.427215576171875
29,1,2.55987548828125,2.56622314453125,2.5347900390625,2.5013427734375
