step_idx,timestep,baseline,early,mid,late,custom
0,958,0.1347503662109375,0.134857177734375,0.1347503662109375,0.1347503662109375,0.134857177734375
1,925,1.921630859375,1.330078125,1.921630859375,1.921630859375,1.330078125
2,892,2.79364013671875,1.263397216796875,2.79364013671875,2.79364013671875,1.263397216796875
3,859,3.11572265625,1.8091583251953125,3.11572265625,3.11572265625,1.8091583251953125
4,826,3.3936920166015625,4.85986328125,3.3943099975585938,3.3936920166015625,4.78411865234375
5,793,3.5752029418945312,5.37176513671875,3.22674560546875,3.5752029418945312,4.741943359375
6,760,3.721832275390625,5.650398254394531,2.659271240234375,3.721832275390625,4.94488525390625
7,727,3.9036941528320312,5.72027587890625,1.9801177978515625,3.9036941528320312,4.54241943359375
8,694,3.896484375,5.538848876953125,1.6391220092773438,3.896484375,4.1345977783203125
9,661,3.81463623046875,5.620819091796875,1.361328125,3.81463623046875,3.995361328125
10,628,3.8721084594726562,5.42535400390625,1.1506881713867188,3.8721084594726562,3.656829833984375
11,595,3.914093017578125,5.2481689453125,0.9853591918945312,3.914093017578125,3.54193115234375
12,562,3.9683380126953125,5.26861572265625,0.9130477905273438,3.9683380126953125,3.548370361328125
13,529,4.0394287109375,5.2655029296875,2.18310546875,2.7046051025390625,3.5762939453125
14,496,3.835693359375,5.3658447265625,2.176361083984375,2.4248046875,3.43798828125
15,463,3.63763427734375,5.28076171875,2.171600341796875,2.1540985107421875,3.325592041015625
16,430,3.36468505859375,5.2742919921875,2.02130126953125,1.8212509155273438,3.20294189453125
17,397,3.1082305908203125,5.1942138671875,1.75311279296875,1.66912841796875,3.328369140625
18,364,3.013092041015625,5.225341796875,1.425750732421875,1.61956787109375,3.2673492431640625
19,331,2.90496826171875,5.2686767578125,1.285430908203125,1.5502243041992188,3.0505523681640625
20,298,2.60723876953125,5.19647216796875,1.1411056518554688,1.3846969604492188,2.775299072265625
21,265,2.530670166015625,5.072418212890625,1.0314788818359375,1.1929473876953125,2.6643524169921875
22,232,2.4000625610351562,4.8249664306640625,1.0321197509765625,1.14215087890625,2.5011444091796875
23,199,2.2348175048828125,4.56488037109375,0.946533203125,1.077911376953125,2.34417724609375
24,166,2.2830657958984375,4.41583251953125,0.9355621337890625,0.9261932373046875,2.445465087890625
25,133,2.1156005859375,4.429931640625,0.93548583984375,0.7804183959960938,2.606536865234375
26,100,1.872833251953125,4.1461639404296875,0.90179443359375,0.623046875,2.655242919921875
27,67,1.542449951171875,3.7796783447265625,0.8573455810546875,0.6023712158203125,2.6067962646484375
28,34,1.270599365234375,3.268798828125,0.7144622802734375,0.6844482421875,2.7670135498046875
29,1,0.6768646240234375,2.9600677490234375,0.878143310546875,0.5955429077148438,3.338836669921875
