rank,feature_id,score
1,4322,0.004661469254642725
2,4080,0.003245252650231123
3,4145,0.0032051722519099712
4,2495,0.0026860269717872143
5,4023,0.0025648034643381834
6,1382,0.0025471425615251064
7,6,0.0023092632181942463
8,3044,0.0017929812893271446
9,2554,0.0017143363365903497
10,3063,0.0014771149726584554
11,384,0.0013994598994031549
12,3186,0.0013473477447405457
13,4473,0.0013441067421808839
14,1094,0.0013391440734267235
15,3010,0.0013160734670236707
16,1102,0.001170118572190404
17,1755,0.0011043983977288008
18,798,0.0010457728058099747
19,140,0.0009819349506869912
20,4611,0.0009773753117769957
21,2621,0.0009241461521014571
22,2756,0.0009128140518441796
23,1724,0.0009100258466787636
24,4486,0.0009073511464521289
25,4218,0.0008806096157059073
26,4764,0.0008706652442924678
27,1451,0.0008299895562231541
28,2442,0.0007958556525409222
29,2617,0.0007949054124765098
30,2328,0.0007574815535917878
31,2353,0.0007469368865713477
32,1572,0.0007390192477032542
33,1147,0.0007385161588899791
34,1637,0.0007367968210019171
35,4414,0.0007133382605388761
36,156,0.0007055733003653586
37,2061,0.000698150834068656
38,5048,0.0006963855121284723
39,2634,0.0006949370726943016
40,3744,0.0006836085231043398
41,4272,0.0006699498044326901
42,4567,0.0006452414090745151
43,2174,0.0006293694023042917
44,2157,0.0006265807314775884
45,961,0.0006168454419821501
46,3180,0.0006024375907145441
47,4122,0.0005874535418115556
48,1444,0.000587236718274653
49,4933,0.0005817089695483446
50,1026,0.0005795190809294581
