rank,feature_id,score
1,2403,4270.431640625
2,8704,2321.87353515625
3,9216,1954.178955078125
4,4729,1794.358642578125
5,5709,1546.36181640625
6,1433,1470.91162109375
7,7555,1336.6773681640625
8,2723,1172.633544921875
9,9465,1163.5623779296875
10,6735,1106.7213134765625
