step_idx,timestep,baseline,early,mid,late,custom
0,958,2.0809783935546875,0.46661376953125,2.0809783935546875,2.0809783935546875,0.46661376953125
1,925,4.60003662109375,0.88330078125,4.60003662109375,4.60003662109375,0.88330078125
2,892,8.562263488769531,1.921905517578125,8.562263488769531,8.562263488769531,1.921905517578125
3,859,10.777587890625,3.086456298828125,10.777587890625,10.777587890625,3.086456298828125
4,826,11.9847412109375,6.4400482177734375,4.258331298828125,11.9847412109375,4.01239013671875
5,793,13.6854248046875,8.933074951171875,3.8380584716796875,13.6854248046875,4.54949951171875
6,760,14.9754638671875,10.12445068359375,4.53021240234375,14.9754638671875,4.425048828125
7,727,15.72650146484375,10.93914794921875,4.60565185546875,15.72650146484375,4.706756591796875
8,694,16.111175537109375,11.704383850097656,3.80352783203125,16.111175537109375,4.871421813964844
9,661,15.6971435546875,12.278076171875,4.17132568359375,15.6971435546875,5.4300537109375
10,628,15.220771789550781,12.34033203125,4.958648681640625,15.220771789550781,6.63397216796875
11,595,14.755477905273438,12.558837890625,5.870384216308594,14.755477905273438,8.25
12,562,15.010604858398438,13.10888671875,6.436439514160156,15.010604858398438,8.1920166015625
13,529,15.227188110351562,12.815673828125,7.152442932128906,13.2320556640625,8.5125732421875
14,496,14.978515625,12.9866943359375,7.85919189453125,12.9873046875,8.511962890625
15,463,14.63232421875,13.3973388671875,8.379302978515625,12.894317626953125,8.41546630859375
16,430,14.523193359375,13.775146484375,8.88446044921875,11.604400634765625,8.40386962890625
17,397,14.93072509765625,14.3583984375,9.128875732421875,10.71099853515625,8.37445068359375
18,364,15.0330810546875,14.7283935546875,9.2669677734375,9.83929443359375,8.662841796875
19,331,15.3101806640625,15.06024169921875,9.161849975585938,9.101715087890625,8.797119140625
20,298,15.5775146484375,15.206298828125,9.464035034179688,7.89849853515625,8.926025390625
21,265,15.8975830078125,15.7340087890625,9.803436279296875,7.4451904296875,9.36572265625
22,232,16.2579345703125,16.0291748046875,9.768829345703125,7.440116882324219,9.53759765625
23,199,16.6080322265625,16.421478271484375,9.81201171875,7.512939453125,9.8310546875
24,166,17.10174560546875,16.91717529296875,10.24267578125,7.57940673828125,9.99951171875
25,133,17.3974609375,17.40203857421875,10.494224548339844,7.16082763671875,10.3310546875
26,100,18.20172119140625,17.38336181640625,10.9844970703125,6.3296051025390625,10.69171142578125
27,67,18.4576416015625,17.465057373046875,11.2879638671875,5.6115875244140625,11.2515869140625
28,34,18.9853515625,17.296783447265625,11.491134643554688,5.717842102050781,11.8660888671875
29,1,19.30731201171875,16.955337524414062,11.569000244140625,9.303436279296875,12.664794921875
