step_idx,timestep,feature_id,score_mode,primary_score,taris_score,saeuron_score,energy_pos,energy_neg,pos_mu_raw,neg_mu_raw,neg_sigma_raw,diff_raw,saeuron_term_raw,pos_mu_norm,neg_mu_norm,diff
0,981,7287,taris,0.000780441623646766,0.000780441623646766,1.6168416738510132,113.94601540429687,113.25368599755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,723,taris,0.0007691299542784691,0.0007691299542784691,1.1863466501235962,113.94601540429687,113.25368599755859,0.0034732818603515625,0.007265090476721525,0.014619681052863598,-0.0037918086163699627,-0.2593455532379117,3.0481819377604898e-05,6.41488214068206e-05,-3.36670020292157e-05
0,981,655,taris,0.0007683831499889493,0.0007683831499889493,5.171621322631836,113.94601540429687,113.25368599755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,3736,taris,0.0006608982803300023,0.0006608982803300023,0.5711842775344849,113.94601540429687,113.25368599755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,9062,taris,0.0005966454627923667,0.0005966454627923667,1.3258168697357178,113.94601540429687,113.25368599755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,430,taris,0.0005536577082239091,0.0005536577082239091,0.6610018610954285,113.94601540429687,113.25368599755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,10100,taris,0.0004951402661390603,0.0004951402661390603,1.032385230064392,113.94601540429687,113.25368599755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,8829,taris,0.0004799265007022768,0.0004799265007022768,0.4209379553794861,113.94601540429687,113.25368599755859,0.0,0.009189605712890625,0.011872861534357071,-0.009189605712890625,-0.7739357315478592,0.0,8.114178034866543e-05,-8.114178034866543e-05
0,981,1613,taris,0.0004796293505933136,0.0004796293505933136,0.820705771446228,113.94601540429687,113.25368599755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,808,taris,0.0004457253962755203,0.0004457253962755203,1.1193186044692993,113.94601540429687,113.25368599755859,0.03124237060546875,0.029277805238962173,0.04188240319490433,0.0019645653665065765,0.04690558112874629,0.00027418572290234387,0.0002585152525595795,1.5670470342764374e-05
