rank,feature_id,score
1,8920,18124.927734375
2,4297,11017.1376953125
3,2713,7088.50634765625
4,4224,5181.7626953125
5,2015,4390.353515625
6,7447,4267.50634765625
7,2166,3915.59619140625
8,9055,3661.42138671875
9,4766,3495.52001953125
10,9208,3321.86279296875
