rank,feature_id,score
1,5700,-0.0006875587860122323
2,9076,-0.0005234212731011212
3,6423,-0.0004866945091634989
4,7607,-0.00047733093379065394
5,2223,-0.000422819925006479
6,4816,-0.00042235004366375506
7,4671,-0.0003678122884593904
8,731,-0.00035342093906365335
9,6327,-0.0002867853327188641
10,4657,-0.000279605999821797
