step_idx,timestep,feature_id,score_mode,primary_score,taris_score,saeuron_score,energy_pos,energy_neg,pos_mu_raw,neg_mu_raw,neg_sigma_raw,diff_raw,saeuron_term_raw,pos_mu_norm,neg_mu_norm,diff
0,981,2064,taris,0.0005849390872754157,0.0005849390872754157,453.0852966308594,118.11998085839843,120.52578072412109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,8365,taris,0.00039799403748475015,0.00039799403748475015,2.049548864364624,118.11998085839843,120.52578072412109,0.0,0.0014686585636809468,0.0038857050240039825,-0.0014686585636809468,-0.37786725635483726,0.0,1.2185430825315708e-05,-1.2185430825315708e-05
0,981,6494,taris,0.0003679692163132131,0.0003679692163132131,4.265408992767334,118.11998085839843,120.52578072412109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,4289,taris,0.0003592587891034782,0.0003592587891034782,0.9840071797370911,118.11998085839843,120.52578072412109,0.0,0.0016326903132721782,0.004319692496210337,-0.0016326903132721782,-0.3778769988153993,0.0,1.354639898171947e-05,-1.354639898171947e-05
0,981,3120,taris,0.00035743901389651,0.00035743901389651,0.8517033457756042,118.11998085839843,120.52578072412109,0.0019245148869231343,0.0020923614501953125,0.0055358679965138435,-0.00016784656327217817,-0.030314351611390906,1.6292881804901677e-05,1.736028124127773e-05,-1.0673994363760532e-06
0,981,6466,taris,0.00032631814246997237,0.00032631814246997237,0.5095987319946289,118.11998085839843,120.52578072412109,0.0,0.0036344528198242188,0.006298745516687632,-0.0036344528198242188,-0.5769205772196322,0.0,3.0154982593668838e-05,-3.0154982593668838e-05
0,981,931,taris,0.00031235316419042647,0.00031235316419042647,1.0649909973144531,118.11998085839843,120.52578072412109,0.10562896728515625,0.10683441162109375,0.03949395567178726,-0.0012054443359375,-0.030521475855170902,0.0008942514764862996,0.0008864029834881024,7.848492998197248e-06
0,981,5151,taris,0.0003018764837179333,0.0003018764837179333,1.691833257675171,118.11998085839843,120.52578072412109,0.010072707198560238,0.003625869983807206,0.006287787109613419,0.006446837214753032,1.0251320488966795,8.52752186832416e-05,3.0083770974333566e-05,5.519144770890803e-05
0,981,6354,taris,0.00029033207101747394,0.00029033207101747394,1.279425859451294,118.11998085839843,120.52578072412109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,981,8385,taris,0.0002640842867549509,0.0002640842867549509,39378.16796875,118.11998085839843,120.52578072412109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
