rank,feature_id,score
1,7366,-0.0026072184555232525
2,4237,-0.0008743411162868142
3,4637,-0.00082391471369192
4,2686,-0.000674130511470139
5,9989,-0.0006173148867674172
6,1309,-0.0005815186887048185
7,531,-0.00048110299394465983
8,1544,-0.0004160442913416773
9,6442,-0.00040601176442578435
10,2533,-0.0003777476376853883
