step_idx,timestep,feature_ids,feature_scales,main_injection_value,baseline_value,early_injection_value,late_injection_value
0,958,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,7.11779364337417e-05,7.11779364337417e-05,7.11779364337417e-05,7.11779364337417e-05
1,925,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.0002613448979502664,0.00025163188142585113,0.0002613448979502664,0.00025163188142585113
2,892,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.0015045269867002276,0.0014762319126759849,0.0015045269867002276,0.0014762319126759849
3,859,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.002940177064999716,0.002562672775852093,0.002940177064999716,0.002562672775852093
4,826,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.004423185355904025,0.004600819611866314,0.004423185355904025,0.004600819611866314
5,793,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.004643215816912516,0.006469218232837193,0.004643215816912516,0.006469218232837193
6,760,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.005733040527232447,0.007812775884772805,0.007934274368267324,0.007812775884772805
7,727,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.006891472343042437,0.009367704712616387,0.010656041284562434,0.009367704712616387
8,694,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.007855551468026079,0.010492263191139273,0.012169569177217454,0.010492263191139273
9,661,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.008311323280594252,0.012594847889886296,0.012293328787166047,0.012594847889886296
10,628,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.008572915783531698,0.013278340947664447,0.011534606382127777,0.013278340947664447
11,595,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.010340383986573443,0.013562316590025603,0.011497407535571824,0.013562316590025603
12,562,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.012050559193596655,0.014354653113038296,0.01164521225540227,0.014354653113038296
13,529,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.009667715624544826,0.014756212701811933,0.0121451398397312,0.014756212701811933
14,496,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.00990111238044733,0.014006338071112623,0.012611622827634505,0.014006338071112623
15,463,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.0103709551037241,0.014358100125825501,0.01179197970674295,0.014358100125825501
16,430,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.01147554107124904,0.014344600608410474,0.012045434556569035,0.014344600608410474
17,397,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.012369525376627166,0.014072271676035086,0.012649434313459551,0.014072271676035086
18,364,3611 4052 919 4014 58 2091 2758 4766 878 4213 1195 2932,0.00848736334592104 0.007790582720190287 0.007180307060480118 0.00590311037376523 0.005390139762312174 0.005349571816623211 0.005128177814185619 0.0046647172421216965 0.004591265693306923 0.004241584800183773 0.00415472686290741 0.004126726184040308,0.012574888324195399,0.01375913035889198,0.012924907566514321,0.01375913035889198
