step_idx,timestep,feature_id,taris_score,pos_mu,neg_mu,diff
0,958,1260,0.0033237498719245195,0.09419967979192734,0.010829467326402664,0.08337020874023438
0,958,3398,0.0024593155831098557,0.337014764547348,0.00023651123046875,0.3367782533168793
0,958,2027,0.0023211718071252108,0.12232345342636108,0.0006670379661954939,0.12165641784667969
0,958,3171,0.0022812620736658573,0.6959481835365295,0.2331983894109726,0.46274977922439575
0,958,4919,0.0022462918423116207,0.15104293823242188,0.02979476936161518,0.12124817073345184
0,958,826,0.002219557296484709,0.04073135554790497,0.01896774210035801,0.02176361344754696
0,958,2527,0.0021864441223442554,0.05217285081744194,0.02635810896754265,0.025814741849899292
0,958,3146,0.002131632762029767,0.5167292952537537,0.017380600795149803,0.4993487000465393
0,958,530,0.0020874841138720512,0.2019769251346588,0.05759750306606293,0.1443794220685959
0,958,3792,0.0019784090109169483,0.05056106671690941,0.0060111237689852715,0.04454994201660156
0,958,1269,0.0018434732919558883,0.49484243988990784,0.18880614638328552,0.3060362935066223
0,958,2413,0.00170628703199327,0.14521774649620056,0.025208130478858948,0.12000961601734161
0,958,2038,0.0017004527617245913,0.67893385887146,0.5445690751075745,0.1343647837638855
0,958,3332,0.0016485981177538633,0.08320747315883636,0.0044129942543804646,0.07879447937011719
0,958,3682,0.0016412095865234733,0.11349807679653168,0.024799194186925888,0.08869887888431549
0,958,3412,0.0016152585158124566,0.180400088429451,0.11022140830755234,0.07017868012189865
0,958,3007,0.0016096908366307616,0.05272231996059418,0.05471107363700867,-0.0019887536764144897
0,958,2956,0.0015331585891544819,0.137104332447052,0.04736938327550888,0.08973494917154312
0,958,1611,0.0014909305609762669,0.2525116801261902,0.1017398089170456,0.1507718712091446
0,958,4157,0.0014315723674371839,0.09271026402711868,0.02392738312482834,0.06878288090229034
0,958,527,0.001416350482031703,0.022060776129364967,0.0011492919875308871,0.020911484956741333
0,958,2827,0.0013946022372692823,0.08155426383018494,0.014000091701745987,0.06755417585372925
0,958,4227,0.001351882005110383,0.04089142009615898,0.09682952612638474,-0.055938106030225754
0,958,244,0.0013420102186501026,0.19789032638072968,0.08780746161937714,0.11008286476135254
0,958,715,0.0013308998895809054,0.20845046639442444,0.041818391531705856,0.16663207113742828
0,958,4468,0.0013253663200885057,0.2618476152420044,0.013358001597225666,0.2484896183013916
0,958,757,0.0013107010163366795,0.3651331961154938,0.10279907286167145,0.26233410835266113
0,958,4189,0.0012493503745645285,0.19139710068702698,0.0002680969191715121,0.19112899899482727
0,958,2949,0.001207631197758019,0.5227084159851074,0.19186127185821533,0.3308471441268921
0,958,2110,0.0011998156551271677,0.05274459719657898,0.019107360392808914,0.033637236803770065
0,958,2967,0.0011961774434894323,0.31283310055732727,0.19450607895851135,0.11832702159881592
0,958,3312,0.0011654202826321125,0.12171187996864319,0.027174606919288635,0.09453727304935455
0,958,883,0.0011578939156606793,0.023076782003045082,0.03307434171438217,-0.00999755971133709
0,958,686,0.0011369577841833234,0.18466979265213013,0.1323390156030655,0.052330777049064636
0,958,1511,0.0011361766373738647,0.20731185376644135,0.02570190466940403,0.18160994350910187
0,958,1528,0.0011288948589935899,0.3229270875453949,0.05104980617761612,0.2718772888183594
0,958,3,0.0011125243036076427,0.06582123041152954,0.0005694580031558871,0.06525177508592606
0,958,1543,0.001099796500056982,0.1307869702577591,0.016766661778092384,0.11402031034231186
0,958,1750,0.0010901978239417076,0.2799791097640991,0.08239448815584183,0.1975846290588379
0,958,1252,0.0010790613014250994,0.29491469264030457,0.0,0.29491469264030457
0,958,1530,0.001074260682798922,0.30535462498664856,0.135894313454628,0.16946031153202057
0,958,2129,0.0010528992861509323,0.06510704010725021,0.0025830077938735485,0.06252403557300568
0,958,3305,0.0010392328258603811,0.01729888841509819,0.02252868562936783,-0.005229797214269638
0,958,1748,0.0010347056668251753,0.01340202335268259,0.009256439283490181,0.0041455840691924095
0,958,3065,0.001002455479465425,0.6979547142982483,0.050952453166246414,0.6470022797584534
0,958,4378,0.0009952158434316516,0.04911438003182411,0.0001786804205039516,0.048935700207948685
0,958,4725,0.0009776509832590818,0.17669083178043365,0.07677871733903885,0.0999121144413948
0,958,2185,0.0009670726140029728,0.18994492292404175,0.0006396484095603228,0.18930527567863464
0,958,5049,0.0009607082465663552,0.11748184263706207,0.016947174444794655,0.10053467005491257
0,958,3496,0.0009312586043961346,0.22046874463558197,0.00035339355235919356,0.22011534869670868
1,925,1260,0.0033237498719245195,0.16947022080421448,0.010211944580078125,0.15925827622413635
1,925,3398,0.0024593155831098557,0.24207763373851776,0.00042388917063362896,0.24165374040603638
1,925,2027,0.0023211718071252108,0.40384140610694885,0.006124572828412056,0.39771682024002075
1,925,3171,0.0022812620736658573,0.8508610725402832,0.24430236220359802,0.6065586805343628
1,925,4919,0.0022462918423116207,0.22203247249126434,0.07551788538694382,0.14651459455490112
1,925,826,0.002219557296484709,0.14254562556743622,0.028984375298023224,0.113561250269413
1,925,2527,0.0021864441223442554,0.05742461979389191,0.019639434292912483,0.03778518736362457
1,925,3146,0.002131632762029767,0.3989114463329315,0.023890305310487747,0.3750211298465729
1,925,530,0.0020874841138720512,0.5281683206558228,0.18058884143829346,0.3475794792175293
1,925,3792,0.0019784090109169483,0.07789779454469681,0.01877449080348015,0.05912330374121666
1,925,1269,0.0018434732919558883,0.5631443858146667,0.24016433954238892,0.32298004627227783
1,925,2413,0.00170628703199327,0.3800033628940582,0.12683257460594177,0.25317078828811646
1,925,2038,0.0017004527617245913,0.5773268342018127,0.39166459441185,0.18566223978996277
1,925,3332,0.0016485981177538633,0.08495712280273438,0.00988082867115736,0.07507629692554474
