rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
1,3636,1.0,1.0,41.96318817138672,1.3430224657058716,1
2,823,1.0,1.0,0.5378948450088501,0.21227534115314484,1
3,1934,1.0,1.0,0.4305543899536133,0.2523573637008667,1
4,2038,1.0,1.0,0.4255734086036682,0.23991312086582184,1
5,3204,1.0,1.0,0.39057981967926025,0.22073553502559662,1
6,175,1.0,1.0,0.3751499056816101,0.19654981791973114,1
7,2573,1.0,1.0,0.3696489930152893,0.1815025508403778,1
8,548,1.0,1.0,0.31322434544563293,0.17390790581703186,1
9,1784,1.0,1.0,0.29123160243034363,0.13977782428264618,1
10,4684,1.0,1.0,0.25593677163124084,0.15949685871601105,1
11,345,1.0,1.0,0.2527717649936676,0.13592323660850525,1
12,341,1.0,1.0,0.22524195909500122,0.12846991419792175,1
13,1867,1.0,1.0,0.22281989455223083,0.14200150966644287,1
14,200,1.0,1.0,0.20248021185398102,0.14153346419334412,1
15,2367,1.0,1.0,0.18568992614746094,0.10658084601163864,1
16,4200,1.0,1.0,0.1295533925294876,0.05086600035429001,1
17,2214,0.9990000128746033,0.9990000128746033,0.26580747961997986,0.18459443747997284,1
18,687,0.9990000128746033,0.9990000128746033,0.2440415471792221,0.16390961408615112,1
19,446,0.9990000128746033,0.9990000128746033,0.23193830251693726,0.15249377489089966,1
20,4230,0.9990000128746033,0.9990000128746033,0.21112596988677979,0.12750376760959625,1
21,3381,0.9990000128746033,0.9990000128746033,0.14364230632781982,0.0811157152056694,1
22,3932,0.9980000257492065,0.9980000257492065,0.3384621739387512,0.24103640019893646,1
23,5095,0.9980000257492065,0.9980000257492065,0.2353586107492447,0.20204177498817444,1
24,1125,0.9980000257492065,0.9980000257492065,0.2118149846792221,0.15241383016109467,1
25,2929,0.9980000257492065,0.9980000257492065,0.1952585130929947,0.1163216084241867,1
26,1616,0.9980000257492065,0.9980000257492065,0.1126074343919754,0.07011594623327255,1
27,3865,0.996999979019165,0.996999979019165,0.27785906195640564,0.21796849370002747,0
28,975,0.996999979019165,0.996999979019165,0.27250003814697266,0.22912222146987915,0
29,4356,0.996999979019165,0.996999979019165,0.2694036662578583,0.19279035925865173,0
30,1069,0.996999979019165,0.996999979019165,0.24329081177711487,0.17183846235275269,0
31,1812,0.996999979019165,0.996999979019165,0.22353294491767883,0.17941568791866302,0
32,478,0.996999979019165,0.996999979019165,0.19846080243587494,0.1604376584291458,0
33,1556,0.996999979019165,0.996999979019165,0.18433217704296112,0.11196132004261017,0
34,1833,0.996999979019165,0.996999979019165,0.11740688979625702,0.06800032407045364,0
35,459,0.9959999918937683,0.9959999918937683,0.3105737268924713,0.2069542407989502,0
36,4040,0.9959999918937683,0.9959999918937683,0.2160996049642563,0.15692418813705444,0
37,3189,0.9959999918937683,0.9959999918937683,0.2068690061569214,0.13869823515415192,0
38,4060,0.9959999918937683,0.9959999918937683,0.19310998916625977,0.1356016844511032,0
39,3909,0.9959999918937683,0.9959999918937683,0.12856443226337433,0.10246066004037857,0
40,2597,0.9950000047683716,0.9950000047683716,0.24612721800804138,0.18880391120910645,0
41,3008,0.9950000047683716,0.9950000047683716,0.23553481698036194,0.1714136004447937,0
42,3891,0.9950000047683716,0.9950000047683716,0.1249799057841301,0.07556229084730148,0
43,512,0.9950000047683716,0.9950000047683716,0.1214156448841095,0.07338609546422958,0
44,429,0.9940000176429749,0.9940000176429749,0.37005218863487244,0.2545984983444214,0
45,701,0.9940000176429749,0.9940000176429749,0.3473896086215973,0.28374436497688293,0
46,1132,0.9940000176429749,0.9940000176429749,0.28865811228752136,0.2400306612253189,0
47,1713,0.9940000176429749,0.9940000176429749,0.27131983637809753,0.17956793308258057,0
48,933,0.9940000176429749,0.9940000176429749,0.21806763112545013,0.16101163625717163,0
49,770,0.9940000176429749,0.9940000176429749,0.18726705014705658,0.12058968096971512,0
50,4167,0.9940000176429749,0.9940000176429749,0.1582203060388565,0.10366350412368774,0
51,2317,0.9929999709129333,0.9929999709129333,0.3146246075630188,0.320954293012619,0
52,426,0.9929999709129333,0.9929999709129333,0.22698277235031128,0.17995482683181763,0
53,3470,0.9929999709129333,0.9929999709129333,0.1988324075937271,0.14566420018672943,0
54,4297,0.9929999709129333,0.9929999709129333,0.18891939520835876,0.15765830874443054,0
55,4003,0.9929999709129333,0.9929999709129333,0.15833771228790283,0.14153891801834106,0
56,1028,0.9919999837875366,0.9919999837875366,0.3060721755027771,0.23295363783836365,0
57,320,0.9919999837875366,0.9919999837875366,0.2730872929096222,0.25714966654777527,0
58,2496,0.9919999837875366,0.9919999837875366,0.2641049921512604,0.26406368613243103,0
59,2485,0.9919999837875366,0.9919999837875366,0.23997539281845093,0.21977190673351288,0
60,4952,0.9919999837875366,0.9919999837875366,0.2305109053850174,0.13290131092071533,0
61,2383,0.9919999837875366,0.9919999837875366,0.2088245302438736,0.17377936840057373,0
62,1837,0.9919999837875366,0.9919999837875366,0.19678591191768646,0.18692199885845184,0
63,333,0.9919999837875366,0.9919999837875366,0.1406649649143219,0.09200892597436905,0
64,4693,0.9919999837875366,0.9919999837875366,0.13714121282100677,0.11321636289358139,0
65,5067,0.9909999966621399,0.9909999966621399,0.23478759825229645,0.19118404388427734,0
66,5008,0.9909999966621399,0.9909999966621399,0.1304987072944641,0.08620471507310867,0
67,2174,0.9909999966621399,0.9909999966621399,0.1096324622631073,0.07348983734846115,0
68,2669,0.9900000095367432,0.9900000095367432,0.2703911364078522,0.17706835269927979,0
69,3565,0.9900000095367432,0.9900000095367432,0.12424139678478241,0.10107801854610443,0
