step_idx,timestep,feature_ids,feature_scales,main_injection_value,baseline_value,early_injection_value,late_injection_value
0,958,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0,0.0,0.0,0.0
1,925,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0,0.0,0.0,0.0
2,892,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0,0.0,0.0,0.0
3,859,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0216217041015625,0.0216217041015625,0.01528167724609375,0.0216217041015625
4,826,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.06744384765625,0.06744384765625,0.04351806640625,0.06744384765625
5,793,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.12890625,0.12890625,0.059722900390625,0.12890625
6,760,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0924072265625,0.2410888671875,0.147735595703125,0.2410888671875
7,727,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.04604339599609375,0.400146484375,0.27313232421875,0.400146484375
8,694,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.03546142578125,0.53466796875,0.40997314453125,0.53466796875
9,661,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0,0.52386474609375,0.42596435546875,0.52386474609375
10,628,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0306396484375,0.5511474609375,0.36676025390625,0.5511474609375
11,595,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.02764129638671875,0.4691619873046875,0.3970947265625,0.4691619873046875
12,562,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.076690673828125,0.423553466796875,0.294677734375,0.423553466796875
13,529,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0606689453125,0.47784423828125,0.1866455078125,0.47784423828125
14,496,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.06805419921875,0.46318817138671875,0.166748046875,0.46318817138671875
15,463,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.043426513671875,0.549896240234375,0.078125,0.549896240234375
16,430,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0,0.5274200439453125,0.0858306884765625,0.5274200439453125
17,397,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0,0.5920562744140625,0.129638671875,0.5920562744140625
18,364,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0,0.6199188232421875,0.14208984375,0.6199188232421875
19,331,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.04315185546875,0.620086669921875,0.11309814453125,0.620086669921875
20,298,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.04803466796875,0.5580902099609375,0.136962890625,0.5580902099609375
21,265,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.05120849609375,0.5124969482421875,0.2060546875,0.5124969482421875
22,232,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0926055908203125,0.4500885009765625,0.2293853759765625,0.4500885009765625
23,199,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.04473876953125,0.43756103515625,0.21484375,0.43756103515625
24,166,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.02239990234375,0.4594879150390625,0.16455078125,0.516021728515625
25,133,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0223846435546875,0.4356231689453125,0.09539794921875,0.3267974853515625
26,100,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.02264404296875,0.378143310546875,0.134765625,0.22259521484375
27,67,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.020721435546875,0.4399566650390625,0.1845703125,0.0433349609375
28,34,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.0195465087890625,0.404571533203125,0.1522216796875,0.0732421875
29,1,366 304 677 999 2766 3940 2091 4145 2932 216,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,0.048126220703125,0.2978363037109375,0.073028564453125,0.06646728515625
