step_idx,timestep,baseline,main,early,late
0,958,3.135986328125,3.135986328125,2.5480804443359375,3.135986328125
1,925,6.413299560546875,6.413299560546875,2.0431747436523438,6.413299560546875
2,892,8.940185546875,8.940185546875,2.3755416870117188,8.940185546875
3,859,12.598388671875,12.598388671875,3.4478912353515625,12.598388671875
4,826,14.14569091796875,9.3192138671875,4.91326904296875,14.14569091796875
5,793,15.65576171875,6.488136291503906,7.7402191162109375,15.65576171875
6,760,16.2451171875,6.960548400878906,12.010940551757812,16.2451171875
7,727,16.5802001953125,7.926429748535156,11.5816650390625,16.5802001953125
8,694,16.2503662109375,4.17022705078125,10.929290771484375,16.2503662109375
9,661,16.224853515625,4.3094482421875,9.860382080078125,16.224853515625
10,628,15.494384765625,4.0858612060546875,9.16650390625,15.494384765625
11,595,14.072540283203125,3.6880035400390625,9.2506103515625,14.072540283203125
12,562,13.08154296875,3.3525772094726562,9.0404052734375,13.08154296875
13,529,12.37078857421875,3.549774169921875,9.261474609375,9.17864990234375
14,496,12.06097412109375,3.3659210205078125,9.04827880859375,8.324775695800781
15,463,11.85760498046875,3.3352813720703125,8.89996337890625,7.377777099609375
16,430,11.5765380859375,3.11077880859375,8.9765625,6.996551513671875
17,397,11.50885009765625,3.0792694091796875,9.079833984375,6.603851318359375
18,364,11.171844482421875,3.0862884521484375,9.426025390625,6.2113037109375
19,331,11.04156494140625,3.032196044921875,9.4002685546875,5.867431640625
20,298,10.4981689453125,2.890716552734375,9.3175048828125,5.43017578125
21,265,9.876296997070312,2.7964019775390625,9.3201904296875,4.434906005859375
22,232,9.859817504882812,2.6489105224609375,9.32611083984375,3.906524658203125
23,199,9.84332275390625,2.5236968994140625,9.130523681640625,3.42755126953125
24,166,9.582275390625,2.53753662109375,8.858062744140625,3.190521240234375
25,133,9.331329345703125,2.33746337890625,8.5115966796875,2.7164154052734375
26,100,9.308364868164062,2.2047195434570312,8.253662109375,2.6864013671875
27,67,8.9168701171875,2.1213836669921875,7.6153564453125,2.3870086669921875
28,34,8.5606689453125,2.04937744140625,7.459716796875,1.9010086059570312
29,1,7.17608642578125,1.4769439697265625,6.6410064697265625,1.0159454345703125
