step_idx,timestep,baseline,early,mid,late,custom
0,958,1.664825439453125,0.93658447265625,1.664825439453125,1.664825439453125,0.93658447265625
1,925,5.70947265625,1.465118408203125,5.70947265625,5.70947265625,1.465118408203125
2,892,5.771026611328125,1.3827438354492188,5.771026611328125,5.771026611328125,1.3827438354492188
3,859,7.37841796875,1.69866943359375,7.37841796875,7.37841796875,1.69866943359375
4,826,7.944061279296875,3.3525390625,6.737060546875,7.944061279296875,1.723388671875
5,793,8.33935546875,4.0059356689453125,4.77587890625,8.33935546875,1.90643310546875
6,760,8.173934936523438,4.53125,3.904052734375,8.173934936523438,1.9198760986328125
7,727,8.148460388183594,4.59478759765625,3.4491729736328125,8.148460388183594,2.0598602294921875
8,694,8.221183776855469,4.530517578125,3.1822967529296875,8.221183776855469,2.2863922119140625
9,661,8.315505981445312,4.478515625,3.385009765625,8.315505981445312,2.071044921875
10,628,8.36590576171875,4.427581787109375,3.5523681640625,8.36590576171875,1.70745849609375
11,595,8.39422607421875,4.3516693115234375,3.97271728515625,8.39422607421875,1.3982696533203125
12,562,8.329833984375,4.30535888671875,4.050048828125,8.329833984375,1.078521728515625
13,529,8.201484680175781,4.119384765625,2.5306243896484375,6.6480712890625,1.9131011962890625
14,496,8.1715087890625,4.040283203125,2.3114166259765625,6.3228759765625,1.7747802734375
15,463,8.04693603515625,3.995849609375,2.4319686889648438,5.861083984375,1.5845947265625
16,430,7.876708984375,3.9833984375,2.5708160400390625,5.1708984375,1.508636474609375
17,397,7.791748046875,3.90509033203125,2.676055908203125,5.1044921875,1.52752685546875
18,364,7.649658203125,3.860931396484375,2.86138916015625,4.775390625,1.391876220703125
19,331,7.581298828125,3.780059814453125,3.05078125,4.4116363525390625,1.372314453125
20,298,7.4345703125,3.733154296875,3.119415283203125,3.8092041015625,1.3116607666015625
21,265,7.556640625,3.5887451171875,3.1459197998046875,3.5250244140625,1.2693939208984375
22,232,7.2333984375,3.296905517578125,3.358123779296875,3.3492889404296875,1.3593902587890625
23,199,7.19091796875,3.185882568359375,3.595733642578125,3.544586181640625,1.423065185546875
24,166,7.09375,3.0225830078125,3.82171630859375,3.6558074951171875,1.491058349609375
25,133,7.236328125,2.977294921875,3.9042434692382812,3.6736297607421875,1.682769775390625
26,100,7.21478271484375,2.96514892578125,4.050117492675781,2.697235107421875,1.9600982666015625
27,67,6.818229675292969,3.0667724609375,4.307106018066406,1.553436279296875,2.3900604248046875
28,34,6.7237091064453125,3.1153564453125,4.271598815917969,0.5970458984375,2.7668075561523438
29,1,6.75830078125,3.1119384765625,4.813446044921875,1.2294921875,3.694091796875
